"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"393979","261 NUESTRA SEÑORA DE LA ESPERANZA",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",320,13,1,-69.19143,-12.5839,"Priorizada"
"394021","52020 CAP. FAP. JOSE ABELARDO QUIÑONES",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",1161,51,NA,-69.212059,-12.602946,"Priorizada"
"394064","297 JARDIN PILOTO",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",558,21,NA,-69.18209,-12.59538,"Priorizada"
"394120","315 HUERTO INFANTIL",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",464,16,1,-69.192439,-12.594395,"Priorizada"
"394177","52001 SANTA ROSA",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión privada",837,47,NA,-69.202779,-12.587535,"Priorizada"
"394200","NUESTRA SEÑORA DE LAS MERCEDES",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",1547,65,NA,-69.179865,-12.592886,"Priorizada"
"394238","52008 SANTA CRUZ",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión privada",816,42,1,-69.18765,-12.59631,"Priorizada"
"394243","LA PASTORA",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",1188,63,NA,-69.21302,-12.585947,"Priorizada"
"394276","DOS DE MAYO",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",2778,121,1,-69.19069,-12.58447,"Priorizada"
"394511","52183 ROMPEOLAS",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",466,20,NA,-69.20533,-12.55695,"Priorizada"
"394573","52194 CAPITAN. ALIPIO PONCE VASQUEZ",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",653,22,NA,-69.19305,-12.60278,"Priorizada"
"394587","FAUSTINO MALDONADO",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",1622,66,NA,-69.17791,-12.59756,"Priorizada"
"394592","AUGUSTO BOURONCLE ACUÑA",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",1906,68,NA,-69.1838,-12.5997,"Priorizada"
"394605","CARLOS FERMIN FITZCARRALD",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",3202,136,NA,-69.188401,-12.591576,"Priorizada"
"394610","APLICACION NUESTRA SEÑORA DEL ROSARIO",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",1410,51,NA,-69.19501,-12.59046,"Priorizada"
"394629","EMBLEMATICO GUILLERMO BILLINGHURST",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",1663,83,NA,-69.1826,-12.6005,"Priorizada"
"394728","JAIME WHITE",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Privada",886,43,NA,-69.18971,-12.59808,"Priorizada"
"511911","52181 SEÑOR DE LOS MILAGROS",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",2056,86,NA,-69.20014,-12.59528,"Priorizada"
"533753","CAP. ALIPIO PONCE VASQUEZ",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",462,19,NA,-69.196872,-12.601875,"Priorizada"
"553637","SANTA FE",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Privada",405,23,NA,-69.19073,-12.60276,"Priorizada"
"756809","269 JARDIN DE DIOS",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",390,16,NA,-69.212797,-12.601576,"Priorizada"
"801294","COLUMBIA SCHOOL",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Privada",338,5,NA,-69.181876,-12.60037,"Priorizada"
"827449","52265 MARCELINO CHAMPAGNAT",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",757,28,NA,-69.210209,-12.602519,"Priorizada"
"854268","JARDIN TROPICAL",170101,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA","Pública de gestión directa",358,12,NA,-69.198619,-12.570753,"Priorizada"
