"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Local Educativo Priorizado (preliminar)"
"150135","SAN MARTIN DE PORRES","009864","CRECER I","Privada",63,6,"NA",-77.07261,-12.0178,"No"
"150135","SAN MARTIN DE PORRES","080860","VANGUARD SCHOOLS","Privada",565,22,"NA",-77.08558,-12.01391,"Sí"
"150135","SAN MARTIN DE PORRES","083158","FLORA TRISTAN","Privada",11,2,"NA",-77.08677,-11.94329,"No"
"150135","SAN MARTIN DE PORRES","102169","CARDANO VIETE INGENIEROS","Privada",654,15,"NA",-77.08956,-11.99788,"Sí"
"150135","SAN MARTIN DE PORRES","296412","JOSE LUIS BUSTAMANTE Y RIVERO","Privada",4,4,"3",-77.0753,-12.03205,"Sí"
"150135","SAN MARTIN DE PORRES","310738","0016 JUAN PABLO PEREGRINO","Pública de gestión directa",187,9,"NA",-77.0869,-11.98922,"No"
"150135","SAN MARTIN DE PORRES","311629","MARIA MONTESSORI STOPPANI","Privada",75,11,"NA",-77.0883,-12.0341,"No"
"150135","SAN MARTIN DE PORRES","312105","APRENDO JUGANDO PRE-SCHOOL SMP","Privada",9,2,"NA",-77.08869,-11.961049,"No"
"150135","SAN MARTIN DE PORRES","312148","SANTA INES","Privada",39,5,"NA",-77.06404,-12.01956,"No"
"150135","SAN MARTIN DE PORRES","312313","ANA MARIA RIVIER","Privada",239,26,"NA",-77.08641,-11.97685,"No"
"150135","SAN MARTIN DE PORRES","312563","JUANA ALARCO DE DAMMERT","Privada",43,4,"NA",-77.05674,-12.0277,"No"
"150135","SAN MARTIN DE PORRES","312860","APOSTOL SANTIAGO","Privada",124,8,"NA",-77.07925,-12.02366,"No"
"150135","SAN MARTIN DE PORRES","313355","NUESTRA SEÑORA DE BELEN","Privada",117,11,"NA",-77.10479,-11.96914,"No"
"150135","SAN MARTIN DE PORRES","313435","EL NAZARENO","Privada",662,31,"1",-77.0922,-11.9633,"Sí"
"150135","SAN MARTIN DE PORRES","332622","002 SAN PEDRITO","Pública de gestión directa",198,10,"NA",-77.0817,-12.03442,"No"
"150135","SAN MARTIN DE PORRES","332641","0004","Pública de gestión directa",288,13,"NA",-77.044,-12.03489,"No"
"150135","SAN MARTIN DE PORRES","332655","0005","Pública de gestión directa",313,15,"NA",-77.08906,-11.94575,"Sí"
"150135","SAN MARTIN DE PORRES","332684","0011 SAGRADO CORAZON DE JESUS","Pública de gestión directa",246,11,"NA",-77.06947,-12.02932,"No"
"150135","SAN MARTIN DE PORRES","332698","0015 LOS LIRIOS","Pública de gestión directa",164,9,"NA",-77.09112,-11.97803,"No"
"150135","SAN MARTIN DE PORRES","332702","019 MARIA MONTESSORI","Pública de gestión directa",75,3,"NA",-77.0958,-11.9894,"No"
"150135","SAN MARTIN DE PORRES","332716","0020","Pública de gestión directa",232,10,"NA",-77.09407,-11.99628,"No"
"150135","SAN MARTIN DE PORRES","332721","0057","Pública de gestión directa",396,17,"NA",-77.05563,-12.03451,"Sí"
"150135","SAN MARTIN DE PORRES","332735","0065","Pública de gestión directa",428,16,"NA",-77.06532,-12.02645,"Sí"
"150135","SAN MARTIN DE PORRES","332740","0081","Pública de gestión directa",323,13,"NA",-77.086935,-12.019886,"Sí"
"150135","SAN MARTIN DE PORRES","332759","0313","Pública de gestión directa",249,11,"NA",-77.0878,-12.0364,"No"
"150135","SAN MARTIN DE PORRES","332764","338 MANITOS CREATIVAS","Pública de gestión directa",236,11,"NA",-77.08014,-12.02541,"No"
"150135","SAN MARTIN DE PORRES","332778","0342 MARIA Y JESUS","Pública de gestión directa",254,11,"NA",-77.0738,-12.0277,"No"
"150135","SAN MARTIN DE PORRES","332783","0347 LUIS ENRIQUE XII","Pública de gestión directa",695,31,"NA",-77.10592,-11.97135,"Sí"
"150135","SAN MARTIN DE PORRES","332797","349 PALAO","Pública de gestión directa",404,15,"1",-77.05543,-12.01791,"Sí"
"150135","SAN MARTIN DE PORRES","332801","0357 MEDALLA MILAGROSA","Pública de gestión directa",180,9,"NA",-77.05563,-12.03591,"No"
"150135","SAN MARTIN DE PORRES","332815","0358 NIÑO JESUS DE PRAGA","Pública de gestión directa",493,20,"NA",-77.09065,-12.00635,"Sí"
"150135","SAN MARTIN DE PORRES","332820","0360 VIRGEN DEL CARMEN","Pública de gestión directa",255,11,"NA",-77.0819,-12.0225,"No"
"150135","SAN MARTIN DE PORRES","332839","0361","Pública de gestión directa",212,11,"NA",-77.09079,-12.02818,"No"
"150135","SAN MARTIN DE PORRES","332844","2088 REPUBLICA FEDERAL DE ALEMANIA","Pública de gestión directa",1184,62,"NA",-77.10062,-11.95678,"Sí"
"150135","SAN MARTIN DE PORRES","332858","0366 BLANCA NIEVES","Pública de gestión directa",108,4,"NA",-77.04708,-12.02985,"No"
"150135","SAN MARTIN DE PORRES","332863","0387","Pública de gestión directa",429,17,"NA",-77.08523,-12.0062,"Sí"
"150135","SAN MARTIN DE PORRES","332877","LUIS ENRIQUE X","Pública de gestión directa",218,13,"NA",-77.0847,-12.0362,"No"
"150135","SAN MARTIN DE PORRES","332882","CONDEVILLA SEÑOR I","Pública de gestión directa",292,14,"NA",-77.0814,-12.0214,"No"
"150135","SAN MARTIN DE PORRES","332896","CONDEVILLA SEÑOR II","Pública de gestión directa",429,19,"NA",-77.0735,-12.0243,"Sí"
"150135","SAN MARTIN DE PORRES","332900","LUIS ENRIQUE XIX","Pública de gestión directa",240,11,"NA",-77.07859,-12.01774,"No"
"150135","SAN MARTIN DE PORRES","332924","2001 SANTA ROSA DE LIMA","Pública de gestión directa",1015,47,"NA",-77.08871,-11.94492,"Sí"
"150135","SAN MARTIN DE PORRES","332938","2002 VIRGEN MARIA DEL ROSARIO","Pública de gestión directa",1464,54,"NA",-77.087685,-11.966955,"Sí"
"150135","SAN MARTIN DE PORRES","332943","2003 LIBERTADOR JOSE DE SAN MARTIN","Pública de gestión directa",1225,64,"NA",-77.091,-12.0063,"Sí"
"150135","SAN MARTIN DE PORRES","332957","2008 EL ROSARIO","Pública de gestión directa",496,23,"NA",-77.07389,-12.02069,"Sí"
"150135","SAN MARTIN DE PORRES","332962","2074 VIRGEN PEREGRINA DEL ROSARIO","Pública de gestión directa",1448,60,"NA",-77.08883,-11.97756,"Sí"
"150135","SAN MARTIN DE PORRES","332976","2010 ALBERT EINSTEIN","Pública de gestión directa",492,23,"NA",-77.087375,-12.017275,"Sí"
"150135","SAN MARTIN DE PORRES","332981","2011","Pública de gestión directa",189,10,"NA",-77.0482,-12.02793,"No"
"150135","SAN MARTIN DE PORRES","332995","2012","Pública de gestión directa",563,23,"NA",-77.062,-12.0177,"Sí"
"150135","SAN MARTIN DE PORRES","333004","2013","Pública de gestión directa",350,14,"NA",-77.05606,-12.03451,"Sí"
