"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"274820","VIRU",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",2785,108,NA,-78.75171,-8.41379,"Priorizada"
"274839","80070 NUESTRA SEÑORA DEL PERPETUO SOCORRO",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",2310,78,NA,-78.75072,-8.41654,"Priorizada"
"274863","80074 MARIA CARIDAD AGUERO DE ARRESSE",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",2456,99,NA,-78.781147,-8.423504,"Priorizada"
"274877","80075",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",594,31,NA,-78.83576,-8.427537,"Priorizada"
"274900","80095 JOSE OLAYA",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",402,17,NA,-78.818405,-8.44797,"Priorizada"
"274919","80096 FRANCISCO BOLOGNESI",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",382,21,NA,-78.8476,-8.4679,"Priorizada"
"274938","80702 MARIA SANDOVAL ROBLES",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",900,37,NA,-78.80837,-8.409059,"Priorizada"
"274957","80704 ANDRES AVELINO CACERES",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",309,17,1,-78.6795,-8.3796,"Priorizada"
"274976","80755",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",302,16,NA,-78.8684,-8.4663,"Priorizada"
"275042","81700",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",648,37,NA,-78.82339,-8.40514,"Priorizada"
"275122","80091",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",1231,44,NA,-78.738946,-8.446881,"Priorizada"
"517319","GENERAL SIMON BOLIVAR",131201,"LA LIBERTAD","VIRU","VIRU","Privada",67,8,1,-78.77881,-8.42276,"Priorizada"
"566003","LOS ANGELES HIGH SCHOOL",131201,"LA LIBERTAD","VIRU","VIRU","Privada",70,10,1,-78.76722,-8.41913,"Priorizada"
"566017","SAGRADOS CORAZONES",131201,"LA LIBERTAD","VIRU","VIRU","Privada",335,13,1,-78.77616,-8.42159,"Priorizada"
"647009","81700",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",1033,39,NA,-78.82329,-8.40458,"Priorizada"
"659889","JESUS DE NAZARETH",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión privada",619,25,NA,-78.82274,-8.40305,"Priorizada"
"690470","ADVENTURE SCHOOL'S",131201,"LA LIBERTAD","VIRU","VIRU","Privada",1006,26,NA,-78.77187,-8.42067,"Priorizada"
"791365","2285",131201,"LA LIBERTAD","VIRU","VIRU","Pública de gestión directa",67,3,2,-78.77129,-8.43245,"Priorizada"
"819171","CHRISTIAN BARNARD",131201,"LA LIBERTAD","VIRU","VIRU","Privada",525,22,NA,-78.82216,-8.40515,"Priorizada"
