"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"413294","JOSE JACOBO CRUZ VILLEGAS",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",1668,69,NA,-80.67542,-5.26261,"Priorizada"
"413307","VIRGEN DEL CARMEN",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",1055,45,NA,-80.67514,-5.26514,"Priorizada"
"413312","14031",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",463,22,1,-80.64984,-5.24413,"Priorizada"
"413326","MARIA AUXILIADORA",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",312,15,NA,-80.65784,-5.23661,"Priorizada"
"413331","JOSE CARLOS MARIATEGUI LACHIRA",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",557,20,NA,-80.7149,-5.2813,"Priorizada"
"413350","14037 SANTIAGO A REQUENA CASTRO",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",650,29,1,-80.66925,-5.26389,"Priorizada"
"413369","14038",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",564,24,NA,-80.66081,-5.2366,"Priorizada"
"413449","MARIANO DIAZ",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",636,27,NA,-80.66977,-5.2691,"Priorizada"
"413454","15008 CRISTO REY",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",334,13,NA,-80.67395,-5.26135,"Priorizada"
"413468","NUESTRA SEÑORA DE LAS MERCEDES GRAN MARISCALA DEL PERU",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",718,26,NA,-80.67316,-5.26255,"Priorizada"
"413576","JOSE CAYETANO HEREDIA",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",1387,60,NA,-80.66245,-5.26267,"Priorizada"
"413604","GENARO MARTINEZ SILVA",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",1392,57,NA,-80.68975,-5.30825,"Priorizada"
"413618","JOSE CARLOS MARIATEGUI LACHIRA",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",580,33,NA,-80.714728,-5.280572,"Priorizada"
"413623","JUAN DE MORI",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",1089,43,1,-80.67009,-5.2632,"Priorizada"
"413656","BETEL",200105,"PIURA","PIURA","CATACAOS","Privada",611,34,NA,-80.67795,-5.26762,"Priorizada"
"413661","SANTA MARIA",200105,"PIURA","PIURA","CATACAOS","Privada",754,26,NA,-80.673043,-5.264005,"Priorizada"
"413680","SAN JUAN BAUTISTA",200105,"PIURA","PIURA","CATACAOS","Privada",557,24,NA,-80.67317,-5.26567,"Priorizada"
"765535","1330",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",87,3,1,-80.65834,-5.23229,"Priorizada"
"766790","14036 SAN MIGUEL ARCANGEL",200105,"PIURA","PIURA","CATACAOS","Pública de gestión directa",1172,64,NA,-80.68271,-5.27465,"Priorizada"
"836788","SANTA LUCIA",200105,"PIURA","PIURA","CATACAOS","Privada",46,6,1,-80.66931,-5.26277,"Priorizada"
