"IDDIST";"DISTRITO";"Código de Local Educativo";"Nombre de Local Educativo";"Gestión";"Número de Estudiantes";"Número de Docentes";"Siniestros Fatales Registrados";"Longitud";"Latitud";"Local Educativo Priorizado (preliminar)"
"200101";"PIURA";"293753";"JUAN PABLO II";"Privada";12;1;"NA";-80.64227;-5.20007;"No"
"200101";"PIURA";"409942";"001 MARIA CONCEPCION RAMOS CAMPOS";"Pública de gestión directa";314;12;"NA";-80.63386;-5.19929;"Sí"
"200101";"PIURA";"409956";"002";"Pública de gestión directa";283;13;"NA";-80.63822;-5.18936;"No"
"200101";"PIURA";"409975";"05 ROSA AMALIA CASTILLO ELIAS";"Pública de gestión directa";171;7;"NA";-80.65224;-5.18938;"No"
"200101";"PIURA";"409980";"006";"Pública de gestión directa";223;9;"NA";-80.62985;-5.1905;"No"
"200101";"PIURA";"409999";"010";"Pública de gestión directa";229;10;"NA";-80.648184;-5.171388;"No"
"200101";"PIURA";"410097";"084";"Pública de gestión directa";137;5;"NA";-80.64155;-5.20258;"No"
"200101";"PIURA";"410115";"225";"Pública de gestión directa";96;4;"NA";-80.632621;-5.201211;"No"
"200101";"PIURA";"410120";"387";"Pública de gestión directa";45;3;"NA";-80.63248;-5.17429;"No"
"200101";"PIURA";"410139";"389";"Pública de gestión directa";94;4;"NA";-80.64236;-5.17695;"No"
"200101";"PIURA";"410144";"438";"Pública de gestión directa";32;2;"NA";-80.62102;-5.01233;"No"
"200101";"PIURA";"410163";"487";"Pública de gestión directa";40;2;"NA";-80.6291;-5.169;"No"
"200101";"PIURA";"410177";"700";"Pública de gestión directa";87;4;"NA";-80.6366;-5.18367;"No"
"200101";"PIURA";"410182";"743";"Pública de gestión directa";19;1;"NA";-80.6445;-5.20355;"No"
"200101";"PIURA";"410224";"763";"Pública de gestión directa";146;6;"NA";-80.6426;-5.2047;"No"
"200101";"PIURA";"410238";"COMPLEJO LA ALBORADA";"Pública de gestión directa";644;33;"NA";-80.65428;-5.18634;"Sí"
"200101";"PIURA";"410243";"FUNDACION POR LOS NIÑOS DEL PERU";"Pública de gestión directa";78;3;"NA";-80.65342;-5.17005;"No"
"200101";"PIURA";"410262";"SELMIRA DE VARONA";"Pública de gestión directa";1068;39;"NA";-80.64987;-5.19173;"Sí"
"200101";"PIURA";"410276";"PNP BACILIO RAMIREZ PEÑA";"Pública de gestión directa";943;40;"NA";-80.65006;-5.18797;"Sí"
"200101";"PIURA";"410281";"14001 MAGDALENA SEMINARIO DE LLIROD";"Pública de gestión directa";1504;63;"NA";-80.6379;-5.19625;"Sí"
"200101";"PIURA";"410318";"14007";"Pública de gestión directa";835;33;"NA";-80.65418;-5.19012;"Sí"
"200101";"PIURA";"410375";"ELVIRA CASTRO DE QUIROS";"Pública de gestión directa";460;26;"NA";-80.641116;-5.130262;"Sí"
"200101";"PIURA";"410380";"14103";"Pública de gestión directa";210;12;"NA";-80.62092;-5.15807;"No"
"200101";"PIURA";"410399";"SAN PEDRO";"Pública de gestión directa";1354;64;"NA";-80.64155;-5.2004;"Sí"
"200101";"PIURA";"410403";"14987";"Pública de gestión directa";61;3;"NA";-80.629677;-5.141905;"No"
"200101";"PIURA";"410417";"15004";"Pública de gestión directa";154;8;"NA";-80.62519;-5.18892;"No"
"200101";"PIURA";"410422";"15005";"Pública de gestión directa";382;15;"NA";-80.6333;-5.2045;"Sí"
"200101";"PIURA";"410441";"VICTOR FRANCISCO ROSALES ORTEGA";"Pública de gestión directa";1084;44;"NA";-80.63382;-5.18607;"Sí"
"200101";"PIURA";"410479";"FEDERICO HELGUERO SEMINARIO";"Pública de gestión directa";1469;55;"NA";-80.645913;-5.174365;"Sí"
