"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"040101","AREQUIPA","055262","40001 LUIS H. BOURONCLE","Pública de gestión directa",690,30,"NA",-71.53059,-16.39186,"Sí"
"040101","AREQUIPA","055276","40002 AL AIRE LIBRE","Pública de gestión directa",347,21,"NA",-71.53606,-16.40718,"Sí"
"040101","AREQUIPA","055281","40007 GILBERTO OCHOA GALDOS","Pública de gestión directa",216,13,"NA",-71.52288,-16.40876,"No"
"040101","AREQUIPA","055295","SANTO DOMINGO DE GUZMAN","Pública de gestión directa",74,5,"NA",-71.55482,-16.42323,"No"
"040101","AREQUIPA","055318","VICTORIA BARCIA BONIFFATTI","Pública de gestión directa",119,6,"NA",-71.53971,-16.41389,"No"
"040101","AREQUIPA","055323","40015 VALLECITO","Pública de gestión directa",156,13,"NA",-71.5406,-16.40282,"No"
"040101","AREQUIPA","055337","SANTA MONICA","Pública de gestión directa",75,3,"NA",-71.53617,-16.39155,"No"
"040101","AREQUIPA","055342","NUESTRA SEÑORA DE LOURDES","Pública de gestión privada",627,41,"NA",-71.557917,-16.428617,"Sí"
"040101","AREQUIPA","055356","40025 SANTA DOROTEA","Pública de gestión directa",347,16,"NA",-71.53951,-16.41802,"Sí"
"040101","AREQUIPA","055399","40042 REPUBLICA DE FRANCIA","Pública de gestión directa",106,9,"NA",-71.5441,-16.3983,"No"
"040101","AREQUIPA","055417","POLIVALENTE","Pública de gestión directa",80,20,"NA",-71.55451,-16.42311,"No"
"040101","AREQUIPA","055422","41003 ALMIRANTE MIGUEL GRAU","Pública de gestión directa",223,13,"NA",-71.526875,-16.410683,"No"
"040101","AREQUIPA","055436","41005 HEROES DE ANGAMOS","Pública de gestión directa",114,6,"NA",-71.54024,-16.41189,"No"
"040101","AREQUIPA","055441","40165 SAN JUAN BAUTISTA DE LA SALLE","Pública de gestión privada",1088,53,"NA",-71.55067,-16.40489,"Sí"
"040101","AREQUIPA","055455","41008 MANUEL MUÑOZ NAJAR","Pública de gestión directa",1036,55,"NA",-71.52401,-16.39941,"Sí"
"040101","AREQUIPA","055460","NUESTRA SEÑORA DEL PILAR","Pública de gestión directa",69,13,"NA",-71.54458,-16.39608,"No"
"040101","AREQUIPA","055479","41014 FORTUNATA GUTIERREZ DE BERNED","Pública de gestión directa",360,16,"NA",-71.5397,-16.40433,"Sí"
"040101","AREQUIPA","055484","GRAN PACIFICADOR LINUS PAULING","Privada",370,28,"NA",-71.53783,-16.40312,"Sí"
"040101","AREQUIPA","055511","41019 REPUBLICA DE VENEZUELA","Pública de gestión directa",390,26,"1",-71.532955,-16.396551,"Sí"
"040101","AREQUIPA","055525","AREQUIPA","Pública de gestión directa",1151,70,"NA",-71.5295,-16.39225,"Sí"
"040101","AREQUIPA","055573","INDEPENDENCIA AMERICANA","Pública de gestión directa",1445,95,"NA",-71.53191,-16.40821,"Sí"
"040101","AREQUIPA","055587","NICOLAS DE PIEROLA","Pública de gestión directa",48,2,"NA",-71.537267,-16.4063,"No"
"040101","AREQUIPA","055592","JUANA CERVANTES DE BOLOGNESI","Pública de gestión directa",815,20,"NA",-71.54491,-16.40586,"Sí"
"040101","AREQUIPA","055605","LA NEGRITA","Pública de gestión directa",191,9,"NA",-71.5194,-16.4018,"No"
"040101","AREQUIPA","055610","MICAELA BASTIDAS","Pública de gestión directa",882,60,"NA",-71.530154,-16.396228,"Sí"
"040101","AREQUIPA","055629","CUNA HOSPITAL GOYENECHE","Pública de gestión directa",97,7,"NA",-71.53163,-16.39136,"No"
"040101","AREQUIPA","055634","40020 ESCUELA ECOLOGICA URBANA","Pública de gestión directa",366,19,"NA",-71.53401,-16.39087,"Sí"
"040101","AREQUIPA","055648","ROBERT MARKHAM","Privada",10,3,"NA",-71.55191,-16.40371,"No"
"040101","AREQUIPA","055653","CORAZON DE MARIA","Privada",209,24,"NA",-71.527225,-16.400025,"No"
"040101","AREQUIPA","055667","AMISTAD PERUANO FRANCESA","Pública de gestión privada",126,6,"NA",-71.53243,-16.39372,"No"
"040101","AREQUIPA","055672","CABAÑITA DE MARIA","Privada",22,5,"NA",-71.5298,-16.4126,"No"
"040101","AREQUIPA","055686","ESCLAVAS DEL SAGRADO CORAZON DE JESUS","Privada",769,52,"NA",-71.55092,-16.40389,"Sí"
"040101","AREQUIPA","055691","LA RECOLETA","Privada",646,48,"NA",-71.54235,-16.3951,"Sí"
"040101","AREQUIPA","055714","MARIA AUXILIADORA","Privada",401,26,"NA",-71.526525,-16.396517,"Sí"
"040101","AREQUIPA","055728","MARIA INMACULADA","Pública de gestión privada",221,22,"1",-71.5429,-16.4092,"Sí"
"040101","AREQUIPA","055747","NUESTRA SEÑORA DE FATIMA","Privada",1129,65,"NA",-71.547911,-16.4048,"Sí"
"040101","AREQUIPA","055752","NUEVA ESPERANZA","Privada",22,5,"NA",-71.543139,-16.405562,"No"
"040101","AREQUIPA","055766","SALESIANOS DON BOSCO","Privada",787,39,"NA",-71.52859,-16.39716,"Sí"
"040101","AREQUIPA","055771","SAN JERONIMO","Privada",872,60,"NA",-71.549,-16.408,"Sí"
"040101","AREQUIPA","055785","SANTA ROSA DE VITERBO","Pública de gestión privada",979,57,"NA",-71.54371,-16.3965,"Sí"
"040101","AREQUIPA","055912","COLEGIO ANGLO AMERICANO PRESCOTT","Privada",1319,135,"NA",-71.560733,-16.4288,"Sí"
"040101","AREQUIPA","055974","BLAS PASCAL","Privada",336,25,"NA",-71.52567,-16.39964,"Sí"
"040101","AREQUIPA","055988","MAPLE BEAR AREQUIPA","Privada",107,8,"NA",-71.54172,-16.40502,"No"
"040101","AREQUIPA","056092","CLARET","Privada",502,38,"NA",-71.54154,-16.40216,"Sí"
"040101","AREQUIPA","056153","ESSALUD","Privada",89,8,"NA",-71.52904,-16.39617,"No"
"040101","AREQUIPA","056172","PADRE DAMIAN DE LOS SAGRADOS CORAZONES","Pública de gestión privada",1054,52,"NA",-71.536779,-16.404478,"Sí"
"040101","AREQUIPA","056290","FRANCISCO ROJAS SCHOOL","Privada",257,20,"NA",-71.52882,-16.40801,"No"
"040101","AREQUIPA","056308","GABRIEL ARCANGEL","Privada",7,2,"NA",-71.52551,-16.40889,"No"
"040101","AREQUIPA","056313","GABRIELA MISTRAL","Privada",27,2,"NA",-71.52483,-16.4018,"No"
"040101","AREQUIPA","056493","JOHN WESLEY","Privada",198,17,"NA",-71.539095,-16.402878,"No"
"040101","AREQUIPA","056544","JUAN DE LA CRUZ CALIENES","Privada",54,9,"NA",-71.53521,-16.39271,"No"
"040101","AREQUIPA","056577","DE LA SALLE","Privada",1564,103,"NA",-71.52506,-16.4004,"Sí"
"040101","AREQUIPA","056718","MARIA MONTESSORI","Privada",122,16,"NA",-71.523,-16.3994,"No"
"040101","AREQUIPA","056737","MARIA REYNA","Privada",248,21,"NA",-71.53511,-16.41371,"No"
"040101","AREQUIPA","056780","MATER CRISTI","Privada",10,1,"NA",-71.5372,-16.41797,"No"
"040101","AREQUIPA","056822","MI PEQUEÑO MUNDO","Privada",16,3,"NA",-71.54014,-16.4168,"No"
"040101","AREQUIPA","056898","ORLEANS GOLEMAN","Privada",476,28,"NA",-71.523398,-16.402541,"Sí"
"040101","AREQUIPA","056916","NUESTRA SEÑORA DEL PILAR","Privada",928,82,"NA",-71.533817,-16.4116,"Sí"
"040101","AREQUIPA","056921","NUESTRA SEÑORA DEL ROSARIO","Privada",252,26,"NA",-71.53111,-16.40364,"No"
"040101","AREQUIPA","057044","ALAS PERUANAS","Privada",210,28,"NA",-71.5248,-16.4116,"No"
"040101","AREQUIPA","057063","SAGRADO CORAZON DE JESUS","Privada",352,27,"NA",-71.52843,-16.40374,"Sí"
"040101","AREQUIPA","057077","DE LOS SAGRADOS CORAZONES","Privada",750,67,"NA",-71.559367,-16.4278,"Sí"
"040101","AREQUIPA","057096","SAINTE CATHERINE LABOURE","Privada",64,7,"NA",-71.5231,-16.40332,"No"
"040101","AREQUIPA","057138","SAN JOSE DE AREQUIPA","Privada",1096,92,"NA",-71.555467,-16.424333,"Sí"
"040101","AREQUIPA","057176","SAN PEDRO PASCUAL","Privada",850,44,"NA",-71.539333,-16.4019,"Sí"
"040101","AREQUIPA","057280","UNAMONOS","Privada",73,30,"1",-71.53347,-16.39703,"Sí"
"040101","AREQUIPA","057336","JUBILEO","Privada",100,9,"NA",-71.56188,-16.43152,"No"
"040101","AREQUIPA","057421","CD CARPE DIEM","Privada",134,12,"NA",-71.52714,-16.40092,"No"
"040101","AREQUIPA","057435","ALEXANDER FLEMING","Privada",792,44,"NA",-71.52775,-16.4114,"Sí"
"040101","AREQUIPA","057440","SAMUEL ORTON","Privada",18,5,"NA",-71.52236,-16.40104,"No"
"040101","AREQUIPA","057652","MINIATURAS","Privada",28,4,"NA",-71.5249,-16.40855,"No"
"040101","AREQUIPA","057751","CLARET","Privada",44,3,"NA",-71.54099,-16.40722,"No"
"040101","AREQUIPA","061951","MARISCAL CASTILLA","Pública de gestión directa",75,3,"NA",-71.52715,-16.39561,"No"
"040101","AREQUIPA","065001","SANTA ROSA DE LIMA","Pública de gestión directa",51,3,"NA",-71.5467,-16.3963,"No"
"040101","AREQUIPA","065077","VIVENCIAS - MARIANNE FROSTIG","Privada",22,10,"NA",-71.54985,-16.40305,"No"
"040101","AREQUIPA","078785","INTERNACIONAL ALBERT L. LEHNINGER","Privada",59,9,"NA",-71.53894,-16.39996,"No"
"040101","AREQUIPA","108675","ANDRES BELLO","Privada",370,9,"NA",-71.53904,-16.40311,"Sí"
"040101","AREQUIPA","191655","ITALO PERUANO SANTA MARIA MAZZARELLO","Privada",76,20,"NA",-71.5463,-16.41323,"No"
"040101","AREQUIPA","505260","CHAVEZ DE LA ROSA","Pública de gestión privada",202,13,"NA",-71.52585,-16.398092,"No"
"040101","AREQUIPA","505284","SAN PEDRO","Privada",53,18,"NA",-71.52805,-16.39625,"No"
"040101","AREQUIPA","511553","HONORIO DELGADO ESPINOZA","Privada",440,8,"1",-71.53975,-16.401133,"Sí"
"040101","AREQUIPA","526045","STANFORD","Privada",247,18,"1",-71.5429,-16.3975,"Sí"
"040101","AREQUIPA","526050","GRAN CORAZON DE JESUS","Privada",6,3,"NA",-71.5396,-16.4046,"No"
"040101","AREQUIPA","532409","MAGNUS EDUCATORIS","Privada",76,15,"NA",-71.5369,-16.4068,"No"
"040101","AREQUIPA","540094","SEYMOUR BRUNER","Privada",169,28,"NA",-71.524658,-16.398843,"No"
"040101","AREQUIPA","540107","KINDERWORLD","Privada",48,3,"NA",-71.551317,-16.40304,"No"
"040101","AREQUIPA","540169","VIRGEN DEL CARMEN","Privada",66,9,"1",-71.5397,-16.4055,"Sí"
"040101","AREQUIPA","540819","MY ANGEL SCHOOL","Privada",52,6,"1",-71.54321,-16.40948,"Sí"
"040101","AREQUIPA","541606","EBENEZER","Privada",212,16,"NA",-71.528822,-16.398289,"No"
"040101","AREQUIPA","545609","LICEE JEAN BAPTISTE LAMARCK","Privada",405,24,"NA",-71.54007,-16.40767,"Sí"
"040101","AREQUIPA","546005","SANTA ROSITA DE LIMA","Pública de gestión directa",65,4,"NA",-71.54707,-16.399716,"No"
"040101","AREQUIPA","546109","CERCIA","Pública de gestión directa",62,8,"NA",-71.5445,-16.395,"No"
"040101","AREQUIPA","546185","VIRGEN DE LA MEDALLA MILAGROSA","Privada",21,3,"NA",-71.517764,-16.404852,"No"
