"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"296493","EL PROGRESO I SECTOR",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",295,11,1,-77.01945,-11.87924,"Priorizada"
"296520","900 ESTRELLITAS DE FATIMA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",424,17,NA,-77.01827,-11.87341,"Priorizada"
"296596","384 LOS AMIGUITOS",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",435,19,NA,-77.03117,-11.89566,"Priorizada"
"296624","LUIS ENRIQUE I",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",352,15,NA,-77.00955,-11.87712,"Priorizada"
"296638","8163 SANTIAGO APOSTOL DE PUNCHAUCA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",343,10,1,-77.00045,-11.83416,"Priorizada"
"296643","315 LOS ANGELES Y MARIA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",412,19,NA,-77.03592,-11.89883,"Priorizada"
"296657","3079 NUESTRA SEÑORA DE LAS MERCEDES",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",976,31,NA,-77.03807,-11.89443,"Priorizada"
"296662","2080 ANDRES BELLO",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",869,32,NA,-77.02283,-11.88691,"Priorizada"
"296676","2051",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1042,39,NA,-77.01142,-11.86973,"Priorizada"
"296681","2025",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1045,44,NA,-77.008782,-11.877573,"Priorizada"
"296704","8174",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",530,21,NA,-77.03733,-11.89221,"Priorizada"
"296718","8171 SAN FRANCISCO",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",421,15,NA,-77.02481,-11.88255,"Priorizada"
"296723","8169 PERU JAPON",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",831,31,NA,-76.9958,-11.84715,"Priorizada"
"296737","8168 LOS ANGELES DE NARANJAL",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",729,43,NA,-77.02619,-11.90612,"Priorizada"
"296761","8161 MANUEL SCORZA TORRE",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1668,62,NA,-77.07259,-11.82905,"Priorizada"
"296780","8155 VICTOR RAUL HAYA DE LA TORRE",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",594,21,NA,-77.03376,-11.89376,"Priorizada"
"296799","3507 CAUDIVILLA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",645,29,NA,-77.03147,-11.88966,"Priorizada"
"296803","3058 VIRGEN DE FATIMA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",945,39,NA,-77.0239,-11.89254,"Priorizada"
"296817","3512 MARIA PARADO DE BELLIDO",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",730,28,NA,-76.97664,-11.76544,"Priorizada"
"296822","2084",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1507,58,NA,-77.03198,-11.90217,"Priorizada"
"296836","3057 SANTA ROSA DE CARABAYLLO",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",2598,110,1,-77.0162,-11.87415,"Priorizada"
"296841","RAUL PORRAS BARRENECHEA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",899,49,NA,-77.02446,-11.89284,"Priorizada"
"296855","2037 CIRO ALEGRIA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",2406,94,1,-77.02136,-11.88114,"Priorizada"
"296860","3054 LA FLOR",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1116,49,NA,-77.02717,-11.89591,"Priorizada"
"296879","SANTA ISABEL",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1143,51,NA,-77.03579,-11.89838,"Priorizada"
"296884","TUNGASUCA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",764,47,NA,-77.0431,-11.89536,"Priorizada"
"296898","JOSE MARIA ARGUEDAS",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",2111,94,NA,-77.01775,-11.87361,"Priorizada"
"296902","LUCYANA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",847,47,NA,-77.03264,-11.8906,"Priorizada"
"296921","SANTIAGO ANTUNEZ DE MAYOLO",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",697,40,NA,-77.00593,-11.87744,"Priorizada"
"296964","2050 REPUBLICA DE ARGENTINA",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1735,66,NA,-77.03795,-11.85447,"Priorizada"
"296978","3074 PEDRO RUIZ GALLO",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1486,52,NA,-77.06224,-11.843323,"Priorizada"
"296983","5174 JUAN PABLO II",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1042,43,NA,-77.07024,-11.8297,"Priorizada"
"296997","3519 PHILIP P. SAUNDERS",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",909,32,NA,-77.02882,-11.84336,"Priorizada"
"297001","8175 CORAZON SAGRADO DE JESUS",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",623,23,NA,-77.006,-11.85638,"Priorizada"
"297063","8182 CORONEL JUAN VALER SANDOVAL",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",387,13,NA,-77.03659,-11.88505,"Priorizada"
"297077","8184 SAN BENITO",150106,"LIMA","LIMA","CARABAYLLO","Pública de gestión directa",1529,59,NA,-77.04796,-11.81858,"Priorizada"
"297280","ALBERT EINSTEIN",150106,"LIMA","LIMA","CARABAYLLO","Privada",589,15,NA,-77.01176,-11.87801,"Priorizada"
