"IDDIST";"DISTRITO";"Código de Local Educativo";"Nombre de Local Educativo";"Gestión";"Número de Estudiantes";"Número de Docentes";"Siniestros Fatales Registrados";"Longitud";"Latitud";"Local Educativo Priorizado (preliminar)"
"150111";"EL AGUSTINO";"086069";"JEAN HENRY DUNANT";"Privada";2;1;"NA";-77.00508;-12.03043;"No"
"150111";"EL AGUSTINO";"304704";"08 VILLA HERMOSA";"Pública de gestión directa";253;11;"NA";-76.98958;-12.0408;"No"
"150111";"EL AGUSTINO";"304718";"0009 JOSE MARIA ARGUEDAS";"Pública de gestión directa";700;29;"NA";-76.98938;-12.02803;"Sí"
"150111";"EL AGUSTINO";"304723";"010 MARTIR OLAYA";"Pública de gestión directa";147;7;"NA";-77.00489;-12.05687;"No"
"150111";"EL AGUSTINO";"304742";"013 SANTA ROSITA";"Pública de gestión directa";288;11;"NA";-76.99667;-12.03934;"No"
"150111";"EL AGUSTINO";"304756";"017 CUNA JARDIN";"Pública de gestión directa";554;21;"NA";-76.99939;-12.0514;"Sí"
"150111";"EL AGUSTINO";"304761";"046 LOS LIBERTADORES DE AYACUCHO";"Pública de gestión directa";932;45;"NA";-76.99453;-12.05624;"Sí"
"150111";"EL AGUSTINO";"304780";"048 SAN JUAN BOSCO";"Pública de gestión directa";316;14;"NA";-77.002724;-12.060027;"Sí"
"150111";"EL AGUSTINO";"304799";"0049 ANTONIA MORENO DE CACERES";"Pública de gestión directa";765;30;"NA";-77.0019;-12.0521;"Sí"
"150111";"EL AGUSTINO";"304803";"067 SANTISIMA CRUZ DE MOTUPE";"Pública de gestión directa";81;3;"NA";-77.0031;-12.0297;"No"
"150111";"EL AGUSTINO";"304817";"068";"Pública de gestión directa";285;11;"NA";-76.99299;-12.02776;"No"
"150111";"EL AGUSTINO";"304822";"069 NOCHETO LUIS ENRIQUE VI";"Pública de gestión directa";263;12;"NA";-76.98547;-12.04508;"No"
"150111";"EL AGUSTINO";"304836";"076 MICAELA BASTIDAS";"Pública de gestión directa";191;9;"NA";-76.99544;-12.05093;"No"
"150111";"EL AGUSTINO";"304841";"081";"Pública de gestión directa";220;9;"NA";-77.00589;-12.03737;"No"
"150111";"EL AGUSTINO";"304855";"084 COQUITO";"Pública de gestión directa";97;4;"NA";-76.99788;-12.04262;"No"
"150111";"EL AGUSTINO";"304860";"0085 JOSE DE LA TORRE UGARTE";"Pública de gestión directa";960;37;"NA";-76.99063;-12.0379;"Sí"
"150111";"EL AGUSTINO";"304879";"0093 FERNANDO BELAUNDE TERRY";"Pública de gestión directa";452;17;"NA";-76.99658;-12.03924;"Sí"
"150111";"EL AGUSTINO";"304884";"0098 PERU JAPON";"Pública de gestión directa";401;16;"NA";-76.99701;-12.02852;"Sí"
"150111";"EL AGUSTINO";"304898";"112 HEROES DE LA BREÑA";"Pública de gestión directa";1357;56;"NA";-76.99718;-12.03062;"Sí"
"150111";"EL AGUSTINO";"304916";"115 TORIBIO RODRIGUEZ DE MENDOZA";"Pública de gestión directa";1081;47;"NA";-77.006;-12.0343;"Sí"
"150111";"EL AGUSTINO";"304921";"127 SAN JOSE";"Pública de gestión directa";773;32;"NA";-77.00305;-12.03325;"Sí"
"150111";"EL AGUSTINO";"304935";"134 RAMIRO PRIALE";"Pública de gestión directa";665;31;"NA";-77.008878;-12.031899;"Sí"
"150111";"EL AGUSTINO";"304940";"1025 MARIA PARADO DE BELLIDO";"Pública de gestión directa";1024;42;"NA";-77.006187;-12.050187;"Sí"
"150111";"EL AGUSTINO";"304959";"1044 MARIA REICHE NEWMANN";"Pública de gestión directa";784;34;"NA";-77.003;-12.044016;"Sí"
"150111";"EL AGUSTINO";"304964";"1045 NUESTRA SEÑORA DE FATIMA";"Pública de gestión directa";701;31;"NA";-76.9894;-12.0422;"Sí"
"150111";"EL AGUSTINO";"304978";"1046 JULIO RAMON RIBEYRO";"Pública de gestión directa";255;9;"NA";-77.00892;-12.05059;"No"
"150111";"EL AGUSTINO";"304983";"1047 JUANA INFANTES VERA";"Pública de gestión directa";797;34;"NA";-76.98888;-12.03318;"Sí"
"150111";"EL AGUSTINO";"304997";"1168 GRAN MARISCAL RAMON CASTILLA";"Pública de gestión directa";939;34;"NA";-76.99877;-12.0454;"Sí"
"150111";"EL AGUSTINO";"305001";"1169 ALMIRANTE MIGUEL GRAU SEMINARIO";"Pública de gestión directa";503;20;"NA";-77.00442;-12.05152;"Sí"
"150111";"EL AGUSTINO";"305015";"1170";"Pública de gestión directa";652;24;"1";-77.00436;-12.05479;"Sí"
"150111";"EL AGUSTINO";"305020";"1171 JORGE BASADRE GROHMANN";"Pública de gestión directa";863;37;"NA";-77.001602;-12.055789;"Sí"
"150111";"EL AGUSTINO";"305039";"GLORIOSOS HUSARES DE JUNIN";"Pública de gestión directa";2028;89;"NA";-76.9987;-12.0515;"Sí"
"150111";"EL AGUSTINO";"305044";"1177 HEROES DEL CENEPA";"Pública de gestión directa";318;12;"NA";-77.00256;-12.05896;"Sí"
"150111";"EL AGUSTINO";"305063";"1186 SANTA ROSA DE LIMA MILAGROSA";"Pública de gestión directa";459;21;"NA";-76.99679;-12.0596;"Sí"
"150111";"EL AGUSTINO";"305077";"1187 SAN CAYETANO";"Pública de gestión directa";361;16;"NA";-77.00766;-12.05678;"Sí"
"150111";"EL AGUSTINO";"305082";"JOSE CARLOS MARIATEGUI";"Pública de gestión directa";1068;72;"NA";-76.9974;-12.04284;"Sí"
"150111";"EL AGUSTINO";"305096";"GRAN MARISCAL ANDRES AVELINO CACERES DORREGARAY";"Pública de gestión directa";3502;132;"NA";-77.00672;-12.05819;"Sí"
"150111";"EL AGUSTINO";"305100";"HOGAR SAN MARTIN";"Pública de gestión directa";263;12;"NA";-77.0069;-12.0542;"No"
"150111";"EL AGUSTINO";"305119";"LA PRADERA II";"Pública de gestión directa";581;22;"NA";-76.96305;-12.0303;"Sí"
"150111";"EL AGUSTINO";"305124";"NICOLAS DE PIEROLA";"Pública de gestión directa";322;19;"NA";-77.0107;-12.05079;"Sí"
"150111";"EL AGUSTINO";"305138";"HIPOLITO UNANUE";"Pública de gestión directa";135;22;"NA";-76.99354;-12.03519;"No"
"150111";"EL AGUSTINO";"305143";"AUGUSTO N.WISSE";"Privada";139;11;"NA";-76.99016;-12.03869;"No"
"150111";"EL AGUSTINO";"305157";"ALELUYA";"Privada";144;14;"NA";-76.99744;-12.0504;"No"
"150111";"EL AGUSTINO";"305162";"FE Y ALEGRIA 39";"Pública de gestión privada";1468;61;"NA";-76.9899;-12.0433;"Sí"
"150111";"EL AGUSTINO";"305176";"CORAZON DE JESUS";"Privada";127;22;"NA";-76.98864;-12.03453;"No"
"150111";"EL AGUSTINO";"305181";"CRISTO LIBERTADOR";"Privada";115;9;"NA";-77.001;-12.03549;"No"
"150111";"EL AGUSTINO";"305195";"CRISTO REY";"Privada";96;7;"NA";-76.99069;-12.03438;"No"
"150111";"EL AGUSTINO";"305218";"DORA MAYER";"Privada";94;12;"NA";-77.00583;-12.05226;"No"
"150111";"EL AGUSTINO";"305237";"EL SEMBRADOR";"Privada";97;21;"NA";-76.99948;-12.04879;"No"
"150111";"EL AGUSTINO";"305242";"HUSARES DE JUNIN";"Privada";26;5;"NA";-76.99017;-12.03612;"No"
"150111";"EL AGUSTINO";"305256";"IGNACIO MERINO";"Privada";218;18;"NA";-77.00642;-12.05523;"No"
"150111";"EL AGUSTINO";"305261";"JOHANNES GUTENBERG";"Privada";1418;74;"NA";-76.99687;-12.04798;"Sí"
"150111";"EL AGUSTINO";"305299";"ALEXANDER FLEMING";"Privada";225;12;"NA";-76.9997;-12.0321;"No"
"150111";"EL AGUSTINO";"305303";"MI JESUS CAUTIVO";"Privada";28;4;"NA";-77.00771;-12.03212;"No"
"150111";"EL AGUSTINO";"305322";"NIÑO JESUS DE PRAGA";"Privada";52;5;"NA";-76.99784;-12.04923;"No"
"150111";"EL AGUSTINO";"305336";"NIÑOS DEL PERU";"Privada";57;10;"NA";-77.00676;-12.03489;"No"
"150111";"EL AGUSTINO";"305355";"NUESTRA SEÑORA DEL BUEN CAMINO";"Privada";27;5;"NA";-77.00202;-12.0615;"No"
"150111";"EL AGUSTINO";"305360";"NUESTRA SEÑORA DEL CARMEN";"Privada";46;3;"1";-76.99846;-12.0306;"Sí"
"150111";"EL AGUSTINO";"305379";"PASTORES DE LA VIRGEN";"Privada";103;3;"NA";-77.00027;-12.04965;"No"
