"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"147592","700 PATRON DE SAN JERONIMO",80104,"CUSCO","CUSCO","SAN JERONIMO","Pública de gestión directa",248,10,1,-71.88906,-13.54618,"Priorizada"
"147672","50037 VIRGEN DE LA MERCED",80104,"CUSCO","CUSCO","SAN JERONIMO","Pública de gestión directa",669,31,NA,-71.88214,-13.551962,"Priorizada"
"147686","50038 ALEJANDRO VELASCO ASTETE",80104,"CUSCO","CUSCO","SAN JERONIMO","Pública de gestión directa",1937,89,NA,-71.8886,-13.5469,"Priorizada"
"147752","51023 SAN LUIS GONZAGA",80104,"CUSCO","CUSCO","SAN JERONIMO","Pública de gestión directa",1456,67,NA,-71.88263,-13.54474,"Priorizada"
"147766","51037 VIRGEN DEL CARMEN",80104,"CUSCO","CUSCO","SAN JERONIMO","Pública de gestión directa",365,16,NA,-71.903863,-13.54771,"Priorizada"
"147808","SANTA BERNARDITA",80104,"CUSCO","CUSCO","SAN JERONIMO","Privada",314,26,NA,-71.88621,-13.54239,"Priorizada"
"147827","NUESTRA SEÑORA DEL ROSARIO FE Y ALEGRIA 21",80104,"CUSCO","CUSCO","SAN JERONIMO","Pública de gestión privada",1237,58,NA,-71.88143,-13.54474,"Priorizada"
"612401","MARTINCITO",80104,"CUSCO","CUSCO","SAN JERONIMO","Privada",85,8,1,-71.89774,-13.54225,"Priorizada"
"654943","SAN AGUSTIN DE HIPONA - CUSCO",80104,"CUSCO","CUSCO","SAN JERONIMO","Privada",315,27,NA,-71.90062,-13.53128,"Priorizada"
"717304","CARRION",80104,"CUSCO","CUSCO","SAN JERONIMO","Privada",357,17,NA,-71.89994,-13.53964,"Priorizada"
"834609","INNOVA SCHOOLS - CUSCO LARAPA",80104,"CUSCO","CUSCO","SAN JERONIMO","Privada",959,48,NA,-71.9051,-13.53599,"Priorizada"
"842416","MANITOS PINTADAS",80104,"CUSCO","CUSCO","SAN JERONIMO","Privada",27,4,1,-71.89538,-13.544,"Priorizada"
