"IDDIST";"DISTRITO";"Código de Local Educativo";"Nombre de Local Educativo";"Gestión";"Número de Estudiantes";"Número de Docentes";"Siniestros Fatales Registrados";"Longitud";"Latitud";"Local Educativo Priorizado (preliminar)"
"120107";"CHILCA";"221285";"MISS FRIDA GARDEN";"Privada";34;3;"NA";-75.19589;-12.075;"No"
"120107";"CHILCA";"221841";"301";"Pública de gestión directa";150;7;"NA";-75.193638;-12.074595;"No"
"120107";"CHILCA";"221855";"398";"Pública de gestión directa";65;3;"NA";-75.2198;-12.0875;"No"
"120107";"CHILCA";"221860";"430";"Pública de gestión directa";247;9;"NA";-75.1915;-12.095;"No"
"120107";"CHILCA";"221879";"435 JOSE GALVES";"Pública de gestión directa";210;9;"NA";-75.20584;-12.08726;"No"
"120107";"CHILCA";"221884";"484";"Pública de gestión directa";45;2;"NA";-75.2109;-12.0849;"No"
"120107";"CHILCA";"221898";"592";"Pública de gestión directa";80;3;"NA";-75.19939;-12.07513;"No"
"120107";"CHILCA";"221902";"30012 VICTOR ALBERTO GIL MALLMA";"Pública de gestión directa";1006;47;"NA";-75.19661;-12.07839;"Sí"
"120107";"CHILCA";"221916";"30035 SAN FRANCISCO DE ASIS - INCLUSIVA";"Pública de gestión directa";90;5;"NA";-75.1831;-12.06901;"No"
"120107";"CHILCA";"221921";"30152 LA MEDALLA MILAGROSA";"Pública de gestión directa";259;21;"NA";-75.21979;-12.08745;"No"
"120107";"CHILCA";"221935";"30153 MARIA N.SALAZAR AGUILAR";"Pública de gestión directa";748;36;"NA";-75.199543;-12.088048;"Sí"
"120107";"CHILCA";"221940";"30154 INMACULADO CORAZON DE MARIA";"Pública de gestión directa";840;41;"NA";-75.20561;-12.08095;"Sí"
"120107";"CHILCA";"221959";"30155 FRANCISCO BOLOGNESI";"Pública de gestión directa";721;34;"NA";-75.21058;-12.08608;"Sí"
"120107";"CHILCA";"221964";"30170";"Pública de gestión directa";257;11;"NA";-75.2118;-12.09816;"No"
"120107";"CHILCA";"221978";"31301 JOSE GALVEZ EGUSQUIZA";"Pública de gestión directa";622;25;"NA";-75.2044;-12.0869;"Sí"
"120107";"CHILCA";"221983";"31543 TUPAC AMARU";"Pública de gestión directa";997;40;"NA";-75.19244;-12.09535;"Sí"
"120107";"CHILCA";"222001";"POLITECNICO TUPAC AMARU";"Pública de gestión directa";1699;99;"NA";-75.19256;-12.09624;"Sí"
"120107";"CHILCA";"222015";"336";"Pública de gestión directa";105;6;"NA";-75.18925;-12.07734;"No"
"120107";"CHILCA";"222020";"ANTIOQUIA";"Privada";412;17;"NA";-75.20045;-12.08407;"Sí"
"120107";"CHILCA";"222044";"LAS ABEJITAS";"Privada";35;2;"NA";-75.20334;-12.08544;"No"
"120107";"CHILCA";"222077";"CESAR VALLEJO";"Privada";134;14;"NA";-75.20931;-12.08566;"No"
"120107";"CHILCA";"222082";"UNICORNIO";"Privada";161;10;"NA";-75.20489;-12.07893;"No"
"120107";"CHILCA";"222096";"SANTA MARIA MAZZARELLO";"Privada";111;20;"NA";-75.20433;-12.08236;"No"
"120107";"CHILCA";"222119";"SANTA BARBARA";"Privada";315;18;"NA";-75.204739;-12.086587;"Sí"
"120107";"CHILCA";"222124";"BERTOLT BRECHT";"Privada";386;23;"NA";-75.20069;-12.08376;"Sí"
"120107";"CHILCA";"222138";"DIVINO NIÑO JESUS";"Privada";98;8;"NA";-75.20482;-12.0777;"No"
"120107";"CHILCA";"496166";"ECOLOGICO CIENTIFICO MARIA REITH";"Privada";64;15;"NA";-75.195911;-12.074416;"No"
"120107";"CHILCA";"509852";"PRITE CHILCA";"Pública de gestión directa";69;7;"NA";-75.1918;-12.072;"No"
"120107";"CHILCA";"511973";"UNICIENCIA";"Privada";47;11;"NA";-75.20372;-12.07876;"No"
"120107";"CHILCA";"512736";"BERNARD BLENKIR";"Privada";279;13;"NA";-75.20526;-12.09042;"No"
"120107";"CHILCA";"512779";"LIDER";"Privada";75;8;"NA";-75.20567;-12.0844;"No"
"120107";"CHILCA";"513057";"CRL. EP JUAN VALER SANDOVAL";"Pública de gestión directa";132;7;"NA";-75.2019;-12.0818;"No"
"120107";"CHILCA";"583502";"CRAYOLITAS DE JESUS";"Pública de gestión directa";21;1;"NA";-75.2078;-12.0904;"No"
"120107";"CHILCA";"585704";"WINNER";"Privada";106;12;"NA";-75.20154;-12.08627;"No"
"120107";"CHILCA";"586322";"NUEVA ANTIOQUIA";"Privada";502;15;"NA";-75.19925;-12.09139;"Sí"
"120107";"CHILCA";"588793";"LA SALLE COLLEGE SAC";"Privada";97;10;"NA";-75.20839;-12.0806;"No"
"120107";"CHILCA";"607763";"ALATA";"Pública de gestión directa";28;1;"NA";-75.2161;-12.0955;"No"
"120107";"CHILCA";"607857";"PROGRESO";"Pública de gestión directa";66;3;"NA";-75.22275;-12.10028;"No"
"120107";"CHILCA";"619780";"LA CANTUTA MILENIUM";"Privada";155;11;"NA";-75.19839;-12.08551;"No"
"120107";"CHILCA";"619803";"UNION PACIFICO";"Privada";136;18;"NA";-75.19931;-12.08773;"No"
"120107";"CHILCA";"625286";"MARCELINO CHAMPAIGNE";"Privada";26;10;"NA";-75.20855;-12.08349;"No"
"120107";"CHILCA";"625979";"LA CANTUTA";"Privada";145;8;"NA";-75.20113;-12.08739;"No"
"120107";"CHILCA";"640630";"WINNER";"Privada";197;12;"NA";-75.20154;-12.08627;"No"
"120107";"CHILCA";"641347";"REYNA DE AMERICA";"Privada";1;1;"NA";-75.21033;-12.08891;"No"
"120107";"CHILCA";"641597";"JERUSALEN";"Privada";182;17;"NA";-75.20674;-12.08817;"No"
"120107";"CHILCA";"641620";"FRIEDRICH FROBEL";"Privada";43;5;"NA";-75.201576;-12.083609;"No"
"120107";"CHILCA";"641776";"PALMAS DEL EXITO";"Privada";116;9;"NA";-75.22009;-12.08511;"No"
"120107";"CHILCA";"641837";"KEPLER";"Privada";27;3;"NA";-75.19675;-12.08411;"No"
"120107";"CHILCA";"641899";"ANGELITOS";"Privada";22;3;"2";-75.20295;-12.08368;"Sí"
"120107";"CHILCA";"641984";"SANTISIMA VIRGEN DE GUADALUPE";"Privada";37;5;"NA";-75.21011;-12.0804;"No"
"120107";"CHILCA";"642021";"LA CANTUTA MILENIUM III";"Privada";45;6;"NA";-75.198187;-12.086012;"No"
"120107";"CHILCA";"642785";"CARRION POMA";"Privada";105;9;"NA";-75.19906;-12.08709;"No"
"120107";"CHILCA";"643025";"REYNA DE LA PAZ";"Privada";68;7;"NA";-75.20067;-12.08431;"No"
"120107";"CHILCA";"643030";"SAN AGUSTIN DE HIPONA";"Privada";5;3;"NA";-75.19628;-12.0798;"No"
"120107";"CHILCA";"645562";"NUESTRA SEÑORA DE LAS MERCEDES";"Privada";153;23;"NA";-75.20227;-12.08122;"No"
"120107";"CHILCA";"646665";"BERNARD BLENKIR";"Privada";94;6;"NA";-75.20347;-12.08858;"No"
"120107";"CHILCA";"650723";"MONTESSORI SCHOOL";"Privada";26;3;"NA";-75.20859;-12.08044;"No"
"120107";"CHILCA";"650737";"CENTRO PERUANA";"Privada";7;6;"NA";-75.20105;-12.08373;"No"
"120107";"CHILCA";"651874";"SAN JUAN BAUTISTA";"Privada";62;6;"NA";-75.20885;-12.08352;"No"
"120107";"CHILCA";"685001";"MOODY";"Privada";591;33;"NA";-75.199522;-12.081641;"Sí"
"120107";"CHILCA";"692657";"COLEGIO DE FORMACION INTEGRAL DE ALTO RENDIMIENTO CFIAR";"Privada";194;11;"NA";-75.2036;-12.09297;"No"
