"IDDIST";"DISTRITO";"Código de Local Educativo";"Nombre de Local Educativo";"Gestión";"Número de Estudiantes";"Número de Docentes";"Siniestros Fatales Registrados";"Longitud";"Latitud";"Local Educativo Priorizado (preliminar)"
"211105";"SAN MIGUEL";"463161";"340 SEÑOR DE LOS MILAGROS";"Pública de gestión directa";80;3;"NA";-70.119807;-15.477396;"No"
"211105";"SAN MIGUEL";"463217";"357";"Pública de gestión directa";158;6;"NA";-70.13133;-15.47583;"No"
"211105";"SAN MIGUEL";"463284";"372 YACHAYWASI";"Pública de gestión directa";67;3;"NA";-70.12792;-15.4733;"No"
"211105";"SAN MIGUEL";"463415";"70554";"Pública de gestión directa";50;3;"NA";-70.152139;-15.37603;"No"
"211105";"SAN MIGUEL";"463608";"70582";"Pública de gestión directa";257;16;"NA";-70.116223;-15.460243;"No"
"211105";"SAN MIGUEL";"463613";"70583 PEDRO VILCAPAZA";"Pública de gestión directa";38;3;"NA";-70.10298;-15.408475;"No"
"211105";"SAN MIGUEL";"463665";"70606";"Pública de gestión directa";530;31;"NA";-70.12449;-15.47999;"Sí"
"211105";"SAN MIGUEL";"463712";"70613";"Pública de gestión directa";502;25;"NA";-70.13269;-15.47479;"Sí"
"211105";"SAN MIGUEL";"463769";"70618";"Pública de gestión directa";724;29;"NA";-70.12068;-15.47496;"Sí"
"211105";"SAN MIGUEL";"463830";"70671";"Pública de gestión directa";541;28;"NA";-70.09966;-15.45378;"Sí"
"211105";"SAN MIGUEL";"463849";"70693";"Pública de gestión directa";120;5;"NA";-70.07383;-15.42497;"No"
"211105";"SAN MIGUEL";"463929";"PERU BIRF";"Pública de gestión directa";1749;112;"NA";-70.13538;-15.47937;"Sí"
"211105";"SAN MIGUEL";"464009";"SIMON BOLIVAR";"Pública de gestión directa";1245;71;"NA";-70.117339;-15.474425;"Sí"
"211105";"SAN MIGUEL";"464448";"REAL CONVICTORIO";"Privada";197;17;"NA";-70.122095;-15.481831;"No"
"211105";"SAN MIGUEL";"510049";"PRITE DIVINO NIÑO JESUS";"Pública de gestión directa";45;3;"NA";-70.13588;-15.47219;"No"
"211105";"SAN MIGUEL";"512878";"ESCUELA MUNDIAL";"Privada";44;8;"NA";-70.124172;-15.480727;"No"
"211105";"SAN MIGUEL";"529317";"JULIACA";"Privada";60;6;"NA";-70.114545;-15.472417;"No"
