"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"219664","254 OLIMPIA SANCHEZ MORENO",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",376,16,NA,-75.203,-12.06,"Priorizada"
"219678","300",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",498,20,NA,-75.199981,-12.073669,"Priorizada"
"219683","30320 JESUS EL NAZARENO",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",544,26,NA,-75.2241,-12.0736,"Priorizada"
"219800","30005 SAN FRANSISCO DE ASIS",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",419,19,NA,-75.1909,-12.0338,"Priorizada"
"219824","30009 VIRGEN DE GUADALUPE",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",703,35,NA,-75.1946,-12.043,"Priorizada"
"219838","30011 VIRGEN DEL CARMEN",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",377,22,NA,-75.194,-12.06016,"Priorizada"
"219843","30054 SANTA MARIA REYNA",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",962,37,NA,-75.211277,-12.070532,"Priorizada"
"219857","MARIA INMACULADA",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",1941,137,NA,-75.20904,-12.06567,"Priorizada"
"219862","30057",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",624,26,NA,-75.2133,-12.0761,"Priorizada"
"219876","30059 ROSA DE AMERICA",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",1312,55,NA,-75.21345,-12.06955,"Priorizada"
"219904","30128",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",333,14,NA,-75.18715,-12.0577,"Priorizada"
"219937","31501 SEBASTIAN LORENTE",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",1386,61,NA,-75.2107,-12.065505,"Priorizada"
"219942","SAGRADO CORAZON DE JESUS",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",720,41,NA,-75.21074,-12.07186,"Priorizada"
"219956","31507 DOMINGO F. SARMIENTO",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",755,36,NA,-75.20631,-12.06955,"Priorizada"
"219961","31540 SANTA ISABEL",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",1466,58,NA,-75.20275,-12.05764,"Priorizada"
"219975","31541 EMMA LUZMILA CALLE VERGARA",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",1025,49,NA,-75.20936,-12.06587,"Priorizada"
"219980","31542 VIRGEN MARIA ADMIRABLE",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",1062,55,NA,-75.199432,-12.073551,"Priorizada"
"219999","31554 JOSE C. MARIATEGUI",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",879,53,1,-75.20809,-12.07723,"Priorizada"
"220035","VIRGEN DE FATIMA",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",789,50,NA,-75.19586,-12.05792,"Priorizada"
"220064","SANTA ISABEL",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",4075,185,NA,-75.20263,-12.05843,"Priorizada"
"220078","JOSE ABELARDO QUIÑONES GONZALES",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",461,23,NA,-75.19224,-12.03837,"Priorizada"
"220097","NUESTRA SEÑORA DE COCHARCAS",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",2258,115,NA,-75.20169,-12.07517,"Priorizada"
"220120","NUESTRA SEÑORA DEL ROSARIO",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión privada",2002,99,NA,-75.21226,-12.06998,"Priorizada"
"220163","SANTA MARIA REYNA",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",840,37,NA,-75.22055,-12.07529,"Priorizada"
"220177","LA ASUNCION",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión privada",1020,54,NA,-75.190427,-12.029846,"Priorizada"
"220200","CLARETIANO",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",987,50,NA,-75.20534,-12.06242,"Priorizada"
"220219","MARIA AUXILIADORA",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",410,28,NA,-75.21135,-12.06654,"Priorizada"
"220224","ANDINO",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",785,42,NA,-75.2065,-12.06371,"Priorizada"
"220479","ROSA DE SANTA MARIA",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",113,9,1,-75.198074,-12.073214,"Priorizada"
"220728","RAMIRO VILLAVERDE LAZO",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",923,43,NA,-75.19264,-12.05737,"Priorizada"
"220790","SAN JUAN BOSCO",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",432,18,NA,-75.2136,-12.06867,"Priorizada"
"220832","ZARATE",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",1321,61,NA,-75.20687,-12.06021,"Priorizada"
"220912","SAN JUAN BOSCO",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",410,22,NA,-75.21476,-12.06843,"Priorizada"
"361723","LATINO",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",173,11,1,-75.2136,-12.07206,"Priorizada"
"517649","SACO OLIVEROS",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",763,58,NA,-75.20048,-12.05815,"Priorizada"
"625291","UNION",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",575,33,NA,-75.19388,-12.03586,"Priorizada"
"640625","CIENTIFICA",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",1555,36,NA,-75.20649,-12.07373,"Priorizada"
"641489","30127 SAN FRANCISCO DE ASIS",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",354,25,NA,-75.1994,-12.06872,"Priorizada"
"641559","JOSE CARLOS MARIATEGUI",120101,"JUNIN","HUANCAYO","HUANCAYO","Pública de gestión directa",1252,62,NA,-75.20778,-12.07785,"Priorizada"
"754674","LOS PASITOS",120101,"JUNIN","HUANCAYO","HUANCAYO","Privada",50,3,1,-75.20995,-12.07359,"Priorizada"
