"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"364062","162 LOS HONGUITOS",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",687,27,NA,-73.25349,-3.74757,"Priorizada"
"364118","172 ANGEL DE LA GUARDA",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",361,15,NA,-73.257693,-3.7415,"Priorizada"
"364161","312 GRILLITO",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",343,16,NA,-73.26427,-3.74532,"Priorizada"
"364175","313",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",417,18,NA,-73.24925,-3.73593,"Priorizada"
"364298","342",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",381,16,1,-73.27121,-3.75575,"Priorizada"
"365066","60756 CLAVERITO",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",1844,80,NA,-73.24986,-3.7327,"Priorizada"
"365108","60005 MARIA PARADO DE BELLIDO",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",927,42,NA,-73.25421,-3.76083,"Priorizada"
"365146","60012 ESTHER ANGULO DE PASQUEL",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",362,16,NA,-73.25598,-3.75376,"Priorizada"
"365306","60050 REPUBLICA DE VENEZUELA",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",1730,79,NA,-73.24709,-3.74958,"Priorizada"
"365311","60053 GRAL. AUGUSTO FREYRE GARCIA",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",705,39,NA,-73.24476,-3.73885,"Priorizada"
"365325","60054 JOSE SILFO ALVAN DEL CASTILLO",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",727,36,NA,-73.25195,-3.74596,"Priorizada"
"365330","60055 SERAFIN FILOMENO",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",370,23,NA,-73.24826,-3.74301,"Priorizada"
"365354","60060 CESAR CALVO DE ARAUJO",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",382,21,NA,-73.25753,-3.74064,"Priorizada"
"365698","60188 SIMON BOLIVAR",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",2033,83,NA,-73.26504,-3.73186,"Priorizada"
"365778","60747 DIVINO MAESTRO",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",842,36,NA,-73.25063,-3.73443,"Priorizada"
"365801","60793",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",929,55,NA,-73.267758,-3.753423,"Priorizada"
"365820","60826 ELEODORO BUSTAMANTE LOPEZ",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",520,21,NA,-73.26423,-3.745,"Priorizada"
"365900","MARISCAL OSCAR R. BENAVIDES",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",4393,237,1,-73.25939,-3.74848,"Priorizada"
"366004","61001 CLUB DE LEONES",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",1049,46,NA,-73.25225,-3.74272,"Priorizada"
"366023","61003 MARIA AUXILIADORA",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",376,24,NA,-73.24895,-3.75747,"Priorizada"
"366037","61004 JUAN PABLO II",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",1742,81,NA,-73.25608,-3.76329,"Priorizada"
"366061","61008 JUAN BAUTISTA MORI ROSALES",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",265,18,1,-73.25075,-3.75565,"Priorizada"
"366075","61010 FERNANDO LORES TENAZOA",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",968,53,NA,-73.24279,-3.74906,"Priorizada"
"366080","61014 HORACIO ZEVALLOS GAMEZ",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",384,17,NA,-73.24571,-3.74279,"Priorizada"
"366117","601050 MICAELA BASTIDAS",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",1447,80,NA,-73.27345,-3.75324,"Priorizada"
"366136","601066 MONITOR HUASCAR",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",398,21,NA,-73.2569,-3.73561,"Priorizada"
"366706","6010156 MARISCAL ANDRES AVELINO CACERES",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",883,37,NA,-73.263393,-3.747387,"Priorizada"
"366872","SAGRADO CORAZON",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",1594,83,NA,-73.2459,-3.7502,"Priorizada"
"366886","ROSA AGUSTINA DONAYRE DE MOREY",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",2687,145,NA,-73.25234,-3.74257,"Priorizada"
"367070","MAYNAS",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",2127,111,NA,-73.25175,-3.73433,"Priorizada"
"367268","CORONEL FAP FRANCISCO SECADA VIGNETTA",160101,"LORETO","MAYNAS","IQUITOS","Pública de gestión directa",423,49,NA,-73.26133,-3.74405,"Priorizada"
"367287","SAN FRANCISCO DE ASIS",160101,"LORETO","MAYNAS","IQUITOS","Privada",475,27,NA,-73.26452,-3.75254,"Priorizada"
"367353","REMANENTE DE DIOS",160101,"LORETO","MAYNAS","IQUITOS","Privada",402,28,NA,-73.24872,-3.74878,"Priorizada"
"367485","NUESTRA SEÑORA DE LORETO",160101,"LORETO","MAYNAS","IQUITOS","Privada",790,31,NA,-73.24446,-3.74464,"Priorizada"
"367541","SAN AGUSTIN",160101,"LORETO","MAYNAS","IQUITOS","Privada",1190,69,1,-73.2502,-3.75463,"Priorizada"
"367560","AMAZONAS",160101,"LORETO","MAYNAS","IQUITOS","Privada",641,35,NA,-73.24657,-3.74694,"Priorizada"
"367621","ROSA DE AMERICA",160101,"LORETO","MAYNAS","IQUITOS","Privada",519,28,NA,-73.24956,-3.75141,"Priorizada"
"367659","JEAN PIAGET",160101,"LORETO","MAYNAS","IQUITOS","Privada",345,23,NA,-73.25073,-3.73904,"Priorizada"
"367744","VIRGEN DE LORETO",160101,"LORETO","MAYNAS","IQUITOS","Privada",816,42,NA,-73.24146,-3.7419,"Priorizada"
