"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"040104","CERRO COLORADO","039917","VIRGEN DE GUADALUPE","Privada",57,4,"NA",-71.56581,-16.35033,"No"
"040104","CERRO COLORADO","058784","41024 MANUEL GALLEGOS SANZ","Pública de gestión directa",261,14,"NA",-71.55535,-16.34801,"No"
"040104","CERRO COLORADO","059081","PERUANO - ITALIANA DOMINGO SAVIO","Privada",798,59,"NA",-71.55679,-16.38423,"Sí"
"040104","CERRO COLORADO","059383","40035 V.A. BELAUNDE","Pública de gestión directa",1408,57,"NA",-71.56078,-16.34914,"Sí"
"040104","CERRO COLORADO","059397","40044 SAN MARTIN DE PORRES","Pública de gestión directa",695,28,"NA",-71.59307,-16.32295,"Sí"
"040104","CERRO COLORADO","059401","40053 MANUEL A. TAPIA FUENTES","Pública de gestión directa",481,24,"NA",-71.5673,-16.35323,"Sí"
"040104","CERRO COLORADO","059415","VILLA LAS CANTERAS","Pública de gestión directa",81,4,"NA",-71.581333,-16.334533,"No"
"040104","CERRO COLORADO","059420","40055 ROMEO LUNA VICTORIA","Pública de gestión directa",979,49,"NA",-71.5647,-16.3531,"Sí"
"040104","CERRO COLORADO","059439","40056 HORACIO ZEVALLOS GAMEZ","Pública de gestión directa",728,37,"NA",-71.56705,-16.39235,"Sí"
"040104","CERRO COLORADO","059444","TUPAC AMARU","Pública de gestión directa",54,3,"NA",-71.56832,-16.38584,"No"
"040104","CERRO COLORADO","059458","40057 SANTISIMA VIRGEN DEL ROSARIO","Pública de gestión directa",170,8,"NA",-71.55491,-16.37967,"No"
"040104","CERRO COLORADO","059463","40058 IGNACIO ALVAREZ THOMAS","Pública de gestión directa",243,21,"NA",-71.5706,-16.3807,"No"
"040104","CERRO COLORADO","059477","VICTOR ANDRES BELAUNDE","Pública de gestión directa",216,10,"NA",-71.561,-16.3485,"No"
"040104","CERRO COLORADO","059482","GRAN PACHACUTEC","Pública de gestión directa",263,21,"NA",-71.5731,-16.3947,"No"
"040104","CERRO COLORADO","059496","40061 ESTADO DE SUECIA","Pública de gestión directa",298,21,"NA",-71.5536,-16.3895,"No"
"040104","CERRO COLORADO","059509","40103 LIBERTADORES DE AMERICA","Pública de gestión directa",1156,59,"NA",-71.57444,-16.351,"Sí"
"040104","CERRO COLORADO","059514","40106 JUAN SANTOS ATAHUALPA","Pública de gestión directa",346,15,"NA",-71.5686,-16.4013,"Sí"
"040104","CERRO COLORADO","059528","40141","Pública de gestión directa",177,7,"NA",-71.5895,-16.3154,"No"
