"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"511553","HONORIO DELGADO ESPINOZA",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",332,9,1,-71.53975,-16.401133,"Priorizada"
"526045","STANFORD",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",274,19,1,-71.542604,-16.39713,"Priorizada"
"540169","VIRGEN DEL CARMEN",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",61,10,1,-71.5397,-16.4055,"Priorizada"
"540819","MY ANGEL SCHOOL",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",57,7,1,-71.54321,-16.40948,"Priorizada"
"545609","LICEE JEAN BAPTISTE LAMARCK",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",366,26,NA,-71.54007,-16.40767,"Priorizada"
"546576","JOYCE",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",467,27,NA,-71.532033,-16.400733,"Priorizada"
"546722","SANTA LUCIA",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",513,38,NA,-71.5393,-16.4037,"Priorizada"
"547378","LUCIEN FREUD",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",691,37,NA,-71.52573,-16.39927,"Priorizada"
"548226","HONORIO DELGADO ESPINOZA",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",332,19,1,-71.53863,-16.41849,"Priorizada"
"551148","LA CANTUTA DE AREQUIPA",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",388,24,NA,-71.527984,-16.395345,"Priorizada"
"55262","40001 LUIS H. BOURONCLE",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",477,29,NA,-71.53059,-16.39186,"Priorizada"
"55276","40002 AL AIRE LIBRE",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",336,21,NA,-71.53606,-16.40718,"Priorizada"
"55342","NUESTRA SEÑORA DE LOURDES",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión privada",589,39,NA,-71.557917,-16.428617,"Priorizada"
"55356","40025 SANTA DOROTEA",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",338,16,NA,-71.53951,-16.41802,"Priorizada"
"55441","40165 SAN JUAN BAUTISTA DE LA SALLE",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión privada",1086,52,NA,-71.55067,-16.40489,"Priorizada"
"55455","41008 MANUEL MUÑOZ NAJAR",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",904,54,NA,-71.52401,-16.39941,"Priorizada"
"55484","GRAN PACIFICADOR LINUS PAULING",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",389,25,NA,-71.53783,-16.40312,"Priorizada"
"55511","41019 REPUBLICA DE VENEZUELA",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",343,23,1,-71.532955,-16.396551,"Priorizada"
"55525","AREQUIPA",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",1121,68,NA,-71.5295,-16.39225,"Priorizada"
"55573","INDEPENDENCIA AMERICANA",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",1445,60,NA,-71.53191,-16.40821,"Priorizada"
"55592","JUANA CERVANTES DE BOLOGNESI",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",756,49,NA,-71.54491,-16.40586,"Priorizada"
"55610","MICAELA BASTIDAS",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",886,61,NA,-71.530154,-16.396228,"Priorizada"
"55634","40020 ESCUELA ECOLOGICA URBANA",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Pública de gestión directa",350,18,NA,-71.53401,-16.39087,"Priorizada"
"55686","ESCLAVAS DEL SAGRADO CORAZON DE JESUS",40101,"AREQUIPA","AREQUIPA","AREQUIPA","Privada",790,51,NA,-71.55092,-16.40389,"Priorizada"
