"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"326763","CRISTO SEMBRADOR",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Privada",331,17,NA,-76.96307,-12.13875,"Priorizada"
"329182","46 MI JARDIN DE AMOR",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",343,14,NA,-76.97361,-12.15124,"Priorizada"
"329196","56 MI DULCE HOGAR",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",309,13,NA,-76.96783,-12.15342,"Priorizada"
"329200","66 NIÑO JESUS DE PRAGA",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",388,16,NA,-76.97192,-12.14809,"Priorizada"
"329219","513 NIÑOS DE MARIA",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",309,14,NA,-76.97503,-12.16988,"Priorizada"
"329224","514 EL CARMEN",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",431,17,NA,-76.97778,-12.16368,"Priorizada"
"329238","530 VIRGEN DE FATIMA",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",515,21,NA,-76.96722,-12.15953,"Priorizada"
"329257","JESUS NIÑO",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",458,18,NA,-76.97278,-12.16629,"Priorizada"
"329262","541 DIVINO NIÑO JESUS",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",322,14,NA,-76.97184,-12.13875,"Priorizada"
"329276","547 JESUS PODEROSO",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",385,16,NA,-76.98153,-12.14829,"Priorizada"
"329304","623",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",1146,56,NA,-76.97897,-12.18447,"Priorizada"
"329337","627",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",453,20,NA,-76.96406,-12.17348,"Priorizada"
"329342","629-6034 CESAR CARBONEL RODRIGUEZ",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",712,33,NA,-76.9757,-12.14525,"Priorizada"
"329417","637 VALLE SHARON",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",445,19,NA,-76.97072,-12.17238,"Priorizada"
"329484","7223 MIGUEL COLINA MARIE",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",314,14,NA,-76.9797,-12.15372,"Priorizada"
"329498","652 12 VIRGEN DEL BUEN PASO",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",327,15,NA,-76.9625,-12.14156,"Priorizada"
"329549","652 19 HORACIO ZEBALLOS GAMEZ",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",440,24,NA,-76.97873,-12.1408,"Priorizada"
"329554","PADRE ILUMINATO",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión privada",855,57,NA,-76.9765,-12.17301,"Priorizada"
"329610","6037 INCA PACHACUTEC",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",1040,56,NA,-76.964,-12.15682,"Priorizada"
"329629","6038 OLLANTAY",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",1812,97,NA,-76.96388,-12.1366,"Priorizada"
"329634","6041",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",927,44,NA,-76.97127,-12.1444,"Priorizada"
"329648","6045 DOLORES CAVERO DE GRAU",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",847,53,NA,-76.96729,-12.15338,"Priorizada"
"329653","6046",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",964,41,NA,-76.97236,-12.14849,"Priorizada"
"329667","6078",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",751,31,NA,-76.96832,-12.15807,"Priorizada"
"329672","6089 JORGE BASADRE GROHMANN",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",1119,56,NA,-76.96287,-12.14668,"Priorizada"
"329686","6096 ANTONIO RAIMONDI",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",908,37,NA,-76.96474,-12.16712,"Priorizada"
"329691","6151 SAN LUIS GONZAGA",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",1430,67,NA,-76.97141,-12.13945,"Priorizada"
"329709","LEONCIO PRADO",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",2266,68,NA,-76.95962,-12.13536,"Priorizada"
"329714","7041 VIRGEN DE LA MERCED",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",741,38,NA,-76.95869,-12.16793,"Priorizada"
"329728","7059 JOSE ANTONIO ENCINAS FRANCO",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",1422,61,NA,-76.96546,-12.14751,"Priorizada"
"329733","7060 ANDRES AVELINO CACERES",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",458,23,NA,-76.96267,-12.15274,"Priorizada"
"329747","7061 LOS HEROES DE SAN JUAN",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",1296,63,NA,-76.97544,-12.15593,"Priorizada"
"329752","7062 NACIONES UNIDAS",150133,"LIMA","LIMA","SAN JUAN DE MIRAFLORES","Pública de gestión directa",1794,88,NA,-76.97483,-12.15619,"Priorizada"
