"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"040112","PAUCARPATA","055506","NUESTRA SEÑORA DE LA ASUNCION","Pública de gestión privada",598,32,"NA",-71.50525,-16.42024,"Sí"
"040112","PAUCARPATA","060353","40630 VIRGEN DEL CARMEN","Pública de gestión directa",174,10,"NA",-71.472391,-16.417451,"No"
"040112","PAUCARPATA","060386","40675 GRAL. VELAZCO ALVARADO","Pública de gestión directa",170,8,"NA",-71.46732,-16.41265,"No"
"040112","PAUCARPATA","062432","15 DE AGOSTO","Pública de gestión directa",146,6,"NA",-71.50246,-16.41452,"No"
"040112","PAUCARPATA","062451","40009 SAN MARTIN DE PORRES","Pública de gestión privada",417,24,"NA",-71.49906,-16.41985,"Sí"
"040112","PAUCARPATA","062465","40010 JULIO C.TELLO","Pública de gestión directa",428,39,"NA",-71.492341,-16.417631,"Sí"
"040112","PAUCARPATA","062470","40124 MARIA AUXILIADORA","Pública de gestión directa",224,11,"NA",-71.4791,-16.4155,"No"
"040112","PAUCARPATA","062489","40161 MONSEÑOR JOSE L.DEL CARPIO","Pública de gestión directa",303,19,"NA",-71.51052,-16.43315,"Sí"
"040112","PAUCARPATA","062494","40162 TRIBUNO FRANCISCO MOSTAJO","Pública de gestión directa",236,14,"NA",-71.510429,-16.417302,"No"
"040112","PAUCARPATA","062502","40163 BENIGNO BALLON FARFAN","Pública de gestión directa",951,65,"NA",-71.509326,-16.415205,"Sí"
"040112","PAUCARPATA","062516","40164 JOSE CARLOS MARIATEGUI","Pública de gestión directa",947,58,"NA",-71.51263,-16.41577,"Sí"
"040112","PAUCARPATA","062521","40174 PAOLA FRASSINETTI","Pública de gestión privada",1162,63,"NA",-71.49152,-16.41275,"Sí"
"040112","PAUCARPATA","062535","40177 DIVINO CORAZON DE JESUS","Pública de gestión directa",323,26,"NA",-71.502429,-16.427456,"Sí"
"040112","PAUCARPATA","062540","40178 VICTOR RAUL HAYA DE LA TORRE","Pública de gestión directa",326,21,"NA",-71.48923,-16.4085,"Sí"
"040112","PAUCARPATA","062559","40179 TEODORO NUÑEZ URETA","Pública de gestión directa",187,10,"NA",-71.51073,-16.42022,"No"
"040112","PAUCARPATA","062564","40180","Pública de gestión directa",275,19,"NA",-71.51048,-16.41719,"No"
"040112","PAUCARPATA","062583","40182","Pública de gestión directa",281,15,"NA",-71.50364,-16.41146,"No"
"040112","PAUCARPATA","062597","40183 INDOAMERICA","Pública de gestión directa",239,13,"NA",-71.49499,-16.41304,"No"
"040112","PAUCARPATA","062601","40184","Pública de gestión directa",85,4,"NA",-71.50095,-16.4106,"No"
"040112","PAUCARPATA","062615","40185 SAN JUAN BAUTISTA DE JESUS","Pública de gestión directa",256,18,"NA",-71.50275,-16.41698,"No"
"040112","PAUCARPATA","062620","40211 HEROES DEL PACIFICO","Pública de gestión directa",629,41,"NA",-71.48415,-16.41956,"Sí"
"040112","PAUCARPATA","062639","40220 HEROES DEL CENEPA","Pública de gestión directa",493,33,"NA",-71.49751,-16.42672,"Sí"
"040112","PAUCARPATA","062644","40300 MIGUEL GRAU","Pública de gestión directa",498,28,"NA",-71.483309,-16.410826,"Sí"
"040112","PAUCARPATA","062658","40315 JOSE MARIA ARGUEDAS","Pública de gestión directa",378,27,"NA",-71.48571,-16.41568,"Sí"
"040112","PAUCARPATA","062663","ALTO JESUS","Pública de gestión directa",76,3,"NA",-71.49152,-16.42358,"No"
"040112","PAUCARPATA","062682","AMPLIACION PAUCARPATA","Pública de gestión directa",85,4,"NA",-71.5024,-16.42534,"No"
"040112","PAUCARPATA","062696","CAMPO MARTE","Pública de gestión directa",79,5,"NA",-71.49701,-16.42592,"No"
"040112","PAUCARPATA","062700","CIUDAD BLANCA A","Pública de gestión directa",48,3,"NA",-71.49443,-16.4189,"No"
"040112","PAUCARPATA","062719","CIUDAD BLANCA C","Pública de gestión directa",67,3,"NA",-71.48486,-16.41532,"No"
"040112","PAUCARPATA","062743","JESUS MARIA","Pública de gestión directa",137,6,"NA",-71.512164,-16.417741,"No"
"040112","PAUCARPATA","062757","JOSE CARLOS MARIATEGUI","Pública de gestión directa",19,2,"NA",-71.49986,-16.41596,"No"
"040112","PAUCARPATA","062762","JOSE TEOBALDO PAREDES VALDEZ","Pública de gestión directa",467,48,"NA",-71.49881,-16.412236,"Sí"
"040112","PAUCARPATA","062781","LEONCIO PRADO","Pública de gestión directa",27,2,"NA",-71.50199,-16.42028,"No"
"040112","PAUCARPATA","062795","LUZ Y ALEGRIA","Pública de gestión privada",93,4,"NA",-71.49428,-16.42115,"No"
"040112","PAUCARPATA","062804","MIGUEL GRAU A","Pública de gestión directa",229,10,"NA",-71.48575,-16.40948,"No"
"040112","PAUCARPATA","062818","MIGUEL GRAU B","Pública de gestión directa",78,4,"NA",-71.49312,-16.41194,"No"
"040112","PAUCARPATA","062823","NEPTALI VALDERRAMA AMPUERO","Pública de gestión directa",899,56,"NA",-71.51604,-16.42276,"Sí"
"040112","PAUCARPATA","062837","PROGRESISTA","Pública de gestión directa",136,6,"1",-71.50406,-16.4112,"Sí"
"040112","PAUCARPATA","062842","JESUS NAZARENO","Pública de gestión privada",291,17,"NA",-71.503353,-16.432678,"No"
"040112","PAUCARPATA","062856","JESUS OBRERO","Pública de gestión privada",191,11,"NA",-71.500642,-16.411998,"No"
"040112","PAUCARPATA","062861","JUAN XXIII","Pública de gestión privada",586,37,"NA",-71.48703,-16.40728,"Sí"
"040112","PAUCARPATA","062880","NUESTRA SEÑORA DE COPACABANA","Pública de gestión privada",227,14,"NA",-71.495912,-16.421341,"No"
"040112","PAUCARPATA","062903","NUESTRA SEÑORA DE LOURDES","Pública de gestión privada",660,40,"NA",-71.48053,-16.40677,"Sí"
"040112","PAUCARPATA","062917","NUESTRA SRA.DEL PERPETUO SOCORRO","Pública de gestión privada",25,5,"NA",-71.4859,-16.40953,"No"
"040112","PAUCARPATA","062922","PADRE PEREZ DE GUEREÑU","Pública de gestión directa",880,49,"NA",-71.49356,-16.4201,"Sí"
"040112","PAUCARPATA","062936","PAULO VI","Pública de gestión privada",315,19,"NA",-71.48816,-16.42198,"Sí"
"040112","PAUCARPATA","062941","SAN PEDRO Y SAN PABLO","Pública de gestión privada",555,39,"NA",-71.496632,-16.410543,"Sí"
"040112","PAUCARPATA","062955","SANTA ANA","Pública de gestión privada",30,6,"NA",-71.50362,-16.42947,"No"
"040112","PAUCARPATA","062960","SANTA MARIA DE LA PAZ","Pública de gestión privada",641,37,"NA",-71.49112,-16.43384,"Sí"
"040112","PAUCARPATA","062979","SANTA ROSA DE LIMA","Pública de gestión privada",936,43,"1",-71.49854,-16.42175,"Sí"
"040112","PAUCARPATA","062984","SOR ANA","Pública de gestión privada",904,44,"NA",-71.48291,-16.41403,"Sí"
"040112","PAUCARPATA","063002","VIRGEN DE CHAPI","Pública de gestión privada",342,23,"NA",-71.49622,-16.425582,"Sí"
"040112","PAUCARPATA","063016","ALMIRANTE GRAU","Privada",119,9,"NA",-71.48008,-16.4079,"No"
"040112","PAUCARPATA","063040","CARRUSEL INFANTIL","Privada",41,7,"NA",-71.50341,-16.41476,"No"
"040112","PAUCARPATA","063059","CORAZON DE MARIA","Privada",21,3,"NA",-71.51101,-16.41615,"No"
"040112","PAUCARPATA","063064","HANS CHRISTIAN ANDERSEN","Privada",56,6,"NA",-71.512696,-16.414136,"No"
"040112","PAUCARPATA","063101","LATINOAMERICANO","Privada",673,56,"NA",-71.49826,-16.41942,"Sí"
"040112","PAUCARPATA","063144","SAN ANTONIO DE PADUA","Privada",130,9,"NA",-71.51274,-16.42385,"No"
"040112","PAUCARPATA","063163","SAN SEBASTIAN","Privada",273,17,"NA",-71.49988,-16.41901,"No"
"040112","PAUCARPATA","063177","SANTA MARIA DE BELEN","Privada",179,15,"NA",-71.50447,-16.4181,"No"
"040112","PAUCARPATA","063238","AGUEDA VIGNES","Privada",101,12,"NA",-71.50051,-16.42984,"No"
"040112","PAUCARPATA","063304","LOS DELFINES","Privada",32,2,"NA",-71.5051,-16.41228,"No"
"040112","PAUCARPATA","063318","SANTISIMO CRISTO REDENTOR","Privada",173,10,"NA",-71.51235,-16.42187,"No"
"040112","PAUCARPATA","472537","CORAZONES PUROS","Privada",22,4,"NA",-71.51146,-16.41295,"No"
"040112","PAUCARPATA","472655","PROMEDIO 21","Privada",56,9,"NA",-71.48342,-16.40612,"No"
"040112","PAUCARPATA","530472","CARRUSEL DE LOS NIÑOS","Privada",8,2,"NA",-71.49916,-16.41815,"No"
"040112","PAUCARPATA","533300","LA MEDALLA MILAGROSA","Privada",80,9,"NA",-71.51167,-16.41993,"No"
"040112","PAUCARPATA","536313","SAN ANTONIO DE PADUA","Privada",59,10,"NA",-71.51269,-16.42364,"No"
"040112","PAUCARPATA","549674","PEQUEÑO ARQUITECTO","Privada",6,1,"NA",-71.488151,-16.406947,"No"
"040112","PAUCARPATA","549754","DE LA MANO CON MARIA","Privada",17,2,"NA",-71.48953,-16.4085,"No"
