"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"189704","32002 VIRGEN DEL CARMEN",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",655,34,NA,-76.23511,-9.92351,"Priorizada"
"189718","001 DR. CARLOS SHOWING FERRARI",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",407,16,NA,-76.2452,-9.9327,"Priorizada"
"189742","003 LAURITA VICUÑA",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",328,14,NA,-76.2366,-9.92687,"Priorizada"
"189761","005 FRAY MARTINCITO DE PORRES",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",224,9,1,-76.24876,-9.93923,"Priorizada"
"189916","32004 SAN PEDRO",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",1522,56,NA,-76.24949,-9.93151,"Priorizada"
"189921","32008 SEÑOR DE LOS MILAGROS",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",736,35,NA,-76.2469,-9.93524,"Priorizada"
"189935","32011 HERMILIO VALDIZAN",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",1420,56,NA,-76.23953,-9.92657,"Priorizada"
"189940","32013 PEDRO SANCHEZ GAVIDIA",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",937,46,NA,-76.250825,-9.938208,"Priorizada"
"190038","32814 MIGUEL GRAU SEMINARIO",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",467,18,NA,-76.23631,-9.92122,"Priorizada"
"190142","32046 DANIEL ALOMIA ROBLES",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",761,34,NA,-76.24905,-9.93323,"Priorizada"
"190180","33074 HEROES DE JACTAY",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",852,38,NA,-76.243585,-9.921427,"Priorizada"
"190203","33130",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",431,18,NA,-76.23961,-9.91547,"Priorizada"
"190217","JOSE GALVEZ EGUSQUIZA",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",496,27,NA,-76.24189,-9.91727,"Priorizada"
"190284","ILLATHUPA",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",1209,59,NA,-76.24356,-9.92486,"Priorizada"
"190298","32232 JUANA MORENO",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",1394,71,NA,-76.23778,-9.92866,"Priorizada"
"190302","INDUSTRIAL HERMILIO VALDIZAN",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",1223,64,NA,-76.23536,-9.93089,"Priorizada"
"190335","GRAN UNIDAD ESCOLAR LEONCIO PRADO",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",4204,201,NA,-76.24231,-9.92791,"Priorizada"
"190364","MILAGRO DE FATIMA",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",925,54,NA,-76.23801,-9.92184,"Priorizada"
"190383","NUESTRA SEÑORA DE LAS MERCEDES",100101,"HUANUCO","HUANUCO","HUANUCO","Pública de gestión directa",1865,113,NA,-76.24924,-9.93186,"Priorizada"
"190444","ECLECIAL LA INMACULADA CONCEPCION",100101,"HUANUCO","HUANUCO","HUANUCO","Privada",652,46,NA,-76.24533,-9.92778,"Priorizada"
"190458","MARIA AUXILIADORA",100101,"HUANUCO","HUANUCO","HUANUCO","Privada",339,24,NA,-76.23881,-9.93245,"Priorizada"
