"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Local Educativo Priorizado (preliminar)"
"060101","CAJAMARCA","815045","HNO MIGUEL CARDUCCI RIPIANI","Pública de gestión directa",460,26,"NA",-78.524957,-7.142036,"Sí"
"060101","CAJAMARCA","815333","LA CATOLICA","Privada",346,28,"NA",-78.52044,-7.15655,"Sí"
"060101","CAJAMARCA","815804","1483","Pública de gestión directa",6,1,"NA",-78.60229,-7.13304,"No"
"060101","CAJAMARCA","815823","1485","Pública de gestión directa",14,1,"NA",-78.51544,-7.17012,"No"
"060101","CAJAMARCA","815842","1488","Pública de gestión directa",22,2,"NA",-78.48907,-7.17202,"No"
"060101","CAJAMARCA","815856","1489","Pública de gestión directa",34,2,"NA",-78.49223,-7.18238,"No"
"060101","CAJAMARCA","815861","1490","Pública de gestión directa",22,1,"NA",-78.50516,-7.17952,"No"
"060101","CAJAMARCA","815875","1491","Pública de gestión directa",17,1,"NA",-78.55154,-7.10946,"No"
"060101","CAJAMARCA","815880","1492","Pública de gestión directa",91,4,"NA",-78.52446,-7.14243,"No"
"060101","CAJAMARCA","815903","1495","Pública de gestión directa",18,2,"NA",-78.51147,-7.18586,"No"
"060101","CAJAMARCA","815955","1487","Pública de gestión directa",6,1,"NA",-78.49992,-7.17154,"No"
"060101","CAJAMARCA","819369","PITA, QUIROZ Y VILLANUEVA","Pública de gestión directa",178,10,"NA",-78.51487,-7.17224,"No"
"060101","CAJAMARCA","825493","JOSE MARIA ARGUEDAS","Privada",36,13,"NA",-78.49935,-7.17181,"No"
"060101","CAJAMARCA","826124","ENSIL DE LAS AMERICAS","Privada",43,7,"NA",-78.48759,-7.18086,"No"
"060101","CAJAMARCA","826384","1494","Pública de gestión directa",15,1,"NA",-78.54105,-7.17231,"No"
"060101","CAJAMARCA","828514","YACHAYWASI","Privada",59,4,"NA",-78.49533,-7.1737,"No"
"060101","CAJAMARCA","829274","JEAN PIAGET","Privada",12,3,"NA",-78.51507,-7.15053,"No"
"060101","CAJAMARCA","829330","821228 EL INGENIO","Pública de gestión directa",535,21,"NA",-78.51524,-7.146845,"Sí"
"060101","CAJAMARCA","834510","SAN ANDRES","Privada",552,34,"NA",-78.49343,-7.16829,"Sí"
"060101","CAJAMARCA","835699","AMERICAN COLLEGE","Privada",23,3,"1",-78.50018,-7.16516,"Sí"
"060101","CAJAMARCA","835816","LA CASITA DE LOS GENIOS","Privada",7,1,"NA",-78.49073,-7.17139,"No"
"060101","CAJAMARCA","836948","SAGRADO CORAZON DE MARIA","Privada",105,6,"NA",-78.50665,-7.1723,"No"
"060101","CAJAMARCA","837250","ANTARES","Privada",44,3,"NA",-78.51947,-7.14698,"No"
"060101","CAJAMARCA","839386","CIENCIA Y TECNOLOGIA","Privada",551,38,"1",-78.50752,-7.14652,"Sí"
"060101","CAJAMARCA","840101","CELESTIN FREINET","Privada",63,10,"NA",-78.49719,-7.17505,"No"
