"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"318683","344 SAGRADO CORAZON DE JESUS",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",205,9,1,-77.10403,-11.8405,"Priorizada"
"318763","585 BELLA AURORA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",336,12,NA,-77.10976,-11.8321,"Priorizada"
"318937","606",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",359,13,NA,-77.07774,-11.92352,"Priorizada"
"319055","2064 REPUBLICA FEDERAL DE ALEMANIA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1373,58,NA,-77.06016,-11.86696,"Priorizada"
"319079","2067 LEONCIO PRADO",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1225,49,1,-77.10351,-11.84067,"Priorizada"
"319084","2068 JOSE MARIA ARGUEDAS",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1047,47,NA,-77.07782,-11.90856,"Priorizada"
"319098","2081 PERU SUIZA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1917,71,NA,-77.09672,-11.93313,"Priorizada"
"319102","3070 MARIA DE LOS ANGELES",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1648,67,1,-77.09004,-11.85322,"Priorizada"
"319116","3071 MANUEL GARCIA CERRON",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",3271,118,NA,-77.079,-11.86841,"Priorizada"
"319121","3073 EL DORADO",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1595,61,NA,-77.09533,-11.83432,"Priorizada"
"319140","3088 VISTA ALEGRE",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1309,58,NA,-77.11031,-11.84182,"Priorizada"
"319159","3089 LOS ANGELES",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1349,61,NA,-77.1169,-11.83208,"Priorizada"
"319164","2069 SANTA ROSA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1201,46,NA,-77.08358,-11.87225,"Priorizada"
"319178","2076 ABRAHAM LINCOLN",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",775,39,NA,-77.11653,-11.82699,"Priorizada"
"319183","3092 KUMAMOTO I",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1959,82,NA,-77.08822,-11.91976,"Priorizada"
"319197","5182 SEÑOR DE LOS MILAGROS",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",740,30,NA,-77.086634,-11.928859,"Priorizada"
"319220","5187",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",714,33,NA,-77.08612,-11.93121,"Priorizada"
"319239","5165 REPUBLICA DE SUECIA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",641,29,NA,-77.11045,-11.82209,"Priorizada"
"319244","5166 BELLA AURORA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1245,50,NA,-77.11009,-11.83196,"Priorizada"
"319258","5167 VICTOR RAUL HAYA DE LA TORRE",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",676,30,NA,-77.10925,-11.83521,"Priorizada"
"319263","5168 ROSA LUZ",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1336,60,NA,-77.07223,-11.8806,"Priorizada"
"319277","5169 RAMIRO PRIALE PRIALE",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",488,17,NA,-77.07667,-11.88065,"Priorizada"
"319282","5170 PERU ITALIA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",662,25,NA,-77.06733,-11.89185,"Priorizada"
"319296","5171 TUPAC AMARU II",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",737,31,NA,-77.07676,-11.92101,"Priorizada"
"319300","5172 HIJOS DE LUYA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1030,46,NA,-77.10834,-11.83017,"Priorizada"
"319319","5173 GUSTAVO MOHME LLONA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",888,38,NA,-77.06779,-11.90455,"Priorizada"
"319324","5186 REPUBLICA DE JAPON",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1130,43,NA,-77.06299,-11.8802,"Priorizada"
"319338","5176 MARIA REICHE GROSSE",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",758,27,NA,-77.0698,-11.88755,"Priorizada"
"319343","5177 ALAMEDA DEL NORTE",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1284,52,NA,-77.09246,-11.84254,"Priorizada"
"319357","5178 VICTOR ANDRES BELAUNDE",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1363,55,NA,-77.105932,-11.848705,"Priorizada"
"319362","5179 LOS PINOS",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",990,46,NA,-77.07024,-11.88335,"Priorizada"
"319376","5180 ABRAHAM VALDELOMAR",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",549,21,NA,-77.08929,-11.92765,"Priorizada"
"319381","5181 JOSE OLAYA BALANDRA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",613,20,NA,-77.06542,-11.87731,"Priorizada"
"319395","5184 CESAR VALLEJO",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",368,14,NA,-77.08678,-11.92124,"Priorizada"
"319404","AUGUSTO B. LEGUIA",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",2815,153,NA,-77.0749,-11.86867,"Priorizada"
"319442","8183 PITAGORAS",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",1766,80,NA,-77.10087,-11.82578,"Priorizada"
"319456","SAGRADO CORAZON DE JESUS",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",318,20,NA,-77.0803,-11.86297,"Priorizada"
"319461","LOS NIÑOS DE JESUS",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",918,47,NA,-77.074802,-11.86798,"Priorizada"
"319507","JESUS AMIGO",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",371,15,NA,-77.10219,-11.84114,"Priorizada"
"319526","DOMINGO FAUSTINO SARMIENTO",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",415,21,NA,-77.0764,-11.8674,"Priorizada"
"319574","VIRGEN DE FATIMA",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",316,24,NA,-77.06498,-11.8875,"Priorizada"
"319668","SAN MIGUEL ARCANGEL",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",552,26,NA,-77.08004,-11.86237,"Priorizada"
"319710","DOMINGO ELIAS",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",372,21,NA,-77.06442,-11.87745,"Priorizada"
"319734","MIGUEL DE CERVANTES",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",582,34,NA,-77.08824,-11.85505,"Priorizada"
"319748","NUESTRA SEÑORA DE LAS MERCEDES",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",355,14,NA,-77.0994,-11.84875,"Priorizada"
"319753","RENACIMIENTO",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",468,20,NA,-77.08656,-11.85888,"Priorizada"
"319767","CETAP",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",321,21,NA,-77.07895,-11.86758,"Priorizada"
"319866","VIRGEN DE VIRGENES",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",693,35,NA,-77.07763,-11.91927,"Priorizada"
"319908","JULIO RAMON RIBEYRO",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",575,26,NA,-77.08268,-11.92369,"Priorizada"
"320087","3711 FE Y ALEGRIA 12",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión privada",988,50,NA,-77.08678,-11.86997,"Priorizada"
"320129","INGENIERIA DE SANTO DOMINGO",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",563,19,NA,-77.10661,-11.83587,"Priorizada"
"320134","3719 SANTISIMA TRINIDAD",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión privada",809,35,NA,-77.07989,-11.86345,"Priorizada"
"320167","NUESTRA SEÑORA DE MONSERRAT DE PUENTE PIEDRA II",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",356,24,NA,-77.08599,-11.85729,"Priorizada"
"320285","BERTRAND RUSSELL",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",56,10,2,-77.06854,-11.8994,"Priorizada"
"320308","MARIA REYNA DE LA PAZ",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",329,22,NA,-77.08507,-11.87191,"Priorizada"
"320346","SOPHIANUM",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",535,30,NA,-77.09691,-11.8475,"Priorizada"
"516640","8194 LOS DISCIPULOS DE JESUS",150125,"LIMA","LIMA","PUENTE PIEDRA","Pública de gestión directa",348,16,NA,-77.09321,-11.91795,"Priorizada"
"520152","NIÑO JESUS DE BELEN",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",330,15,NA,-77.084902,-11.920197,"Priorizada"
"552138","AUGUSTE RENOIR",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",344,22,NA,-77.096704,-11.848057,"Priorizada"
"563387","CERVANTES SCHOOL",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",372,27,NA,-77.07375,-11.85225,"Priorizada"
"574705","TECHNOLOGY SCHOOLS LAS VIÑAS",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",453,32,NA,-77.08373,-11.85196,"Priorizada"
"588830","CORAZONES MARIANOS DEL NORTE",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",528,20,NA,-77.06587,-11.90294,"Priorizada"
"605349","TECHNOLOGY SCHOOLS",150125,"LIMA","LIMA","PUENTE PIEDRA","Privada",389,19,NA,-77.08026,-11.86461,"Priorizada"
