"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"306656","1098 CAP FAP JOSE ABELARDO QUIÑONES",150113,"LIMA","LIMA","JESUS MARIA","Pública de gestión directa",412,30,NA,-77.05271,-12.0774,"Priorizada"
"306661","127 TERESA GONZALES DE FANNING",150113,"LIMA","LIMA","JESUS MARIA","Pública de gestión directa",2248,147,NA,-77.04575,-12.07713,"Priorizada"
"306675","DIEGO FERRE",150113,"LIMA","LIMA","JESUS MARIA","Pública de gestión directa",324,34,NA,-77.04654,-12.06974,"Priorizada"
"306717","TERESA GONZALES DE FANNING",150113,"LIMA","LIMA","JESUS MARIA","Pública de gestión directa",813,38,NA,-77.04353,-12.07982,"Priorizada"
"306736","SAN ANTONIO DE PADUA",150113,"LIMA","LIMA","JESUS MARIA","Privada",328,16,NA,-77.05859,-12.08474,"Priorizada"
"306779","SAN ANTONIO DE PADUA",150113,"LIMA","LIMA","JESUS MARIA","Privada",1327,117,NA,-77.053735,-12.082632,"Priorizada"
"306840","ISAAC NEWTON DE JESUS MARIA",150113,"LIMA","LIMA","JESUS MARIA","Privada",157,12,4,-77.05821,-12.08095,"Priorizada"
"306901","SANTA MARIA DE FATIMA SRLDA",150113,"LIMA","LIMA","JESUS MARIA","Privada",103,7,1,-77.04991,-12.0713,"Priorizada"
"306915","COOPERATIVO SAN FELIPE",150113,"LIMA","LIMA","JESUS MARIA","Privada",556,47,NA,-77.05653,-12.08867,"Priorizada"
"306944","BRASIL",150113,"LIMA","LIMA","JESUS MARIA","Privada",256,17,3,-77.05851,-12.08116,"Priorizada"
"307038","TRILCE SALAVERRY",150113,"LIMA","LIMA","JESUS MARIA","Privada",1480,110,NA,-77.04008,-12.07495,"Priorizada"
"307180","LOS ALAMITOS",150113,"LIMA","LIMA","JESUS MARIA","Privada",403,31,NA,-77.05392,-12.08488,"Priorizada"
"307236","LOS ALAMOS",150113,"LIMA","LIMA","JESUS MARIA","Privada",588,41,NA,-77.05438,-12.08374,"Priorizada"
"307321","SACO OLIVEROS DE SALAVERRY",150113,"LIMA","LIMA","JESUS MARIA","Privada",238,11,NA,-77.04315,-12.07396,"Priorizada"
"513118","SANTA MARIA DE LA GRACIA",150113,"LIMA","LIMA","JESUS MARIA","Privada",108,24,2,-77.0484,-12.06886,"Priorizada"
"565013","LEADERSHIP SCHOOL",150113,"LIMA","LIMA","JESUS MARIA","Privada",332,29,NA,-77.04788,-12.07027,"Priorizada"
"702897","JOSEPH AND MERY HIGH SCHOOL",150113,"LIMA","LIMA","JESUS MARIA","Privada",682,36,NA,-77.04416,-12.06571,"Priorizada"
"703892","FANTASIA",150113,"LIMA","LIMA","JESUS MARIA","Privada",57,7,1,-77.04609,-12.07393,"Priorizada"
"704636","PAMER",150113,"LIMA","LIMA","JESUS MARIA","Privada",864,24,NA,-77.0387,-12.06982,"Priorizada"
"830022","SACO OLIVEROS DE JESUS MARIA",150113,"LIMA","LIMA","JESUS MARIA","Privada",588,17,NA,-77.04106,-12.07527,"Priorizada"
