"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"364203","317",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",490,18,NA,-73.27485,-3.7739,"Priorizada"
"364217","318 GLORIA CHAVEZ CULQUI",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",441,17,NA,-73.29031,-3.77391,"Priorizada"
"364458","474 ANGELITOS DEL SABER",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",144,6,NA,-73.28157,-3.77282,"Priorizada"
"364670","548 MI MUNDO INFANTIL",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",528,24,NA,-73.2912,-3.7792,"Priorizada"
"364849","APLICACION UNAP",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",888,38,NA,-73.28538,-3.7815,"Priorizada"
"364887","690 SANTA MONICA",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",213,9,1,-73.27315,-3.76748,"Priorizada"
"365052","601374 SIMON BOLIVAR",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",468,20,NA,-73.302092,-3.777049,"Priorizada"
"365194","60024 SAN JUAN DE MIRAFLORES",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",3531,107,NA,-73.29006,-3.77449,"Priorizada"
"365226","60027",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",1220,44,NA,-73.339115,-3.786487,"Priorizada"
"365368","60093 JOSE OLAYA BALANDRA",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",874,40,NA,-73.340785,-3.80519,"Priorizada"
"365373","60094",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",379,14,NA,-73.355177,-3.828828,"Priorizada"
"365434","60102",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",534,20,NA,-73.353906,-3.889641,"Priorizada"
"365491","60110",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",1492,58,NA,-73.326394,-3.823057,"Priorizada"
"365518","60113",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",619,29,NA,-73.312084,-3.780437,"Priorizada"
"365599","60128 MARIA ANTONIETA RODRIGUEZ MACEDA",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",482,24,NA,-73.336562,-3.863287,"Priorizada"
"365622","60133",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",438,22,NA,-73.48778,-4.231024,"Priorizada"
"366202","601324 VIRGEN DE LAS MERCEDES",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",639,35,NA,-73.28112,-3.7733,"Priorizada"
"366264","601332",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",523,22,NA,-73.28175,-3.77915,"Priorizada"
"366315","601387",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",359,19,NA,-73.27883,-3.77069,"Priorizada"
"366344","601409",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",450,16,NA,-73.30287,-3.79036,"Priorizada"
"366363","601411 MELVIN JONES",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",835,34,NA,-73.272904,-3.761201,"Priorizada"
"366513","601497",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",1001,44,NA,-73.2869,-3.7853,"Priorizada"
"366589","601515",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",1532,63,NA,-73.29419,-3.79122,"Priorizada"
"366730","6010194 MARIA SOCORRO MENDOZA MENDOZA",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",835,38,NA,-73.299151,-3.783177,"Priorizada"
"366768","6010227 CLUB DE LEONES DE LEMGO ALEMANIA",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",1593,60,NA,-73.28209,-3.78157,"Priorizada"
"366787","6010231",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",403,23,NA,-73.453201,-4.091835,"Priorizada"
"366805","6010274",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",480,24,NA,-73.336792,-3.84262,"Priorizada"
"366810","6010275 FRANCISCO SECADA VIGNETTA",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",777,37,NA,-73.29532,-3.78161,"Priorizada"
"367065","COLEGIO NACIONAL IQUITOS",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",2726,164,NA,-73.26864,-3.7654,"Priorizada"
"367193","601491 MADRE TERESA DE CALCUTA",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión privada",2389,79,NA,-73.3012,-3.79099,"Priorizada"
"367466","FE Y ALEGRIA 46 WILHEM ROSSMAN",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión privada",1043,36,1,-73.29181,-3.77839,"Priorizada"
"367961","UNAP MARIA REICHE",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",144,6,1,-73.273014,-3.766469,"Priorizada"
"368036","INKA MANKO KALI",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión privada",365,16,NA,-73.298965,-3.794203,"Priorizada"
"559564","601693",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",359,13,NA,-73.336111,-3.795034,"Priorizada"
"740352","601581 CORAZON DE JESUS",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",551,22,NA,-73.307457,-3.798577,"Priorizada"
"740795","601608",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",948,38,NA,-73.339311,-3.84446,"Priorizada"
"740936","601606 VIOLETA CORREA DE BELAUNDE",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",864,36,NA,-73.273662,-3.781896,"Priorizada"
"741889","601083 REINO UNIDO",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",354,19,NA,-73.313503,-3.79692,"Priorizada"
"815559","601747",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión directa",446,25,NA,-73.358578,-3.874315,"Priorizada"
"831743","CRISTO REDENTOR",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Privada",463,22,NA,-73.292124,-3.780654,"Priorizada"
"859341","EL MILAGRO",160113,"LORETO","MAYNAS","SAN JUAN BAUTISTA","Pública de gestión privada",332,8,1,-73.29182,-3.77845,"Priorizada"
