"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"472778","ANGELITOS DE DIOS",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Privada",430,28,NA,-78.50403,-7.1794,"Priorizada"
"516452","SAN FERNANDO",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Privada",846,35,NA,-78.50394,-7.16195,"Priorizada"
"521646","ISAAC NEWTON",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Privada",924,56,NA,-78.51916,-7.15825,"Priorizada"
"568808","SEGUNDO CABRERA MUÑOZ",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Privada",921,57,NA,-78.50544,-7.16835,"Priorizada"
"568832","055 M ISABEL RODRIGUEZ URRUNAGA",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Pública de gestión directa",296,13,1,-78.522885,-7.153928,"Priorizada"
"569214","MONTE SION",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Privada",458,23,NA,-78.49229,-7.18226,"Priorizada"
"569761","JULIO RAMON RIBEYRO",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Pública de gestión directa",483,32,NA,-78.489349,-7.186634,"Priorizada"
"569799","MARSHMELOW",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Privada",96,5,1,-78.51623,-7.14967,"Priorizada"
"569803","015 SANTA TERESITA",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Pública de gestión directa",463,19,NA,-78.512276,-7.16166,"Priorizada"
"570019","CRISTO RAMOS",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Pública de gestión privada",393,22,NA,-78.578841,-7.086354,"Priorizada"
"570062","83005",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Pública de gestión directa",1300,49,NA,-78.511944,-7.16206,"Priorizada"
"570081","SAN RAMON",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Pública de gestión directa",2697,133,1,-78.523689,-7.153202,"Priorizada"
"570104","DOS DE MAYO",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Pública de gestión directa",716,41,NA,-78.51029,-7.1651,"Priorizada"
"570401","82949",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Pública de gestión directa",804,37,NA,-78.51215,-7.16104,"Priorizada"
"570477","SAN MARCELINO CHAMPAGNAT",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Pública de gestión directa",1371,62,NA,-78.51188,-7.16097,"Priorizada"
"586119","LORD KELVIN",60101,"CAJAMARCA","CAJAMARCA","CAJAMARCA","Privada",560,36,NA,-78.4982,-7.17953,"Priorizada"
