"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Local Educativo Priorizado (preliminar)"
"130111","VICTOR LARCO HERRERA","041699","ECOLOGICO MONTESSORI","Privada",75,9,"NA",-79.04164,-8.13481,"No"
"130111","VICTOR LARCO HERRERA","058454","MANA","Privada",48,13,"NA",-79.04673,-8.13873,"No"
"130111","VICTOR LARCO HERRERA","255379","103 ADA ALEGRIA DE BAZAN","Pública de gestión directa",65,3,"NA",-79.03025,-8.13596,"No"
"130111","VICTOR LARCO HERRERA","255384","211 SANTISIMA NIÑA MARIA","Pública de gestión directa",409,17,"NA",-79.0401,-8.1306,"Sí"
"130111","VICTOR LARCO HERRERA","255398","224","Pública de gestión directa",234,10,"NA",-79.05513,-8.14306,"No"
"130111","VICTOR LARCO HERRERA","255402","1582","Pública de gestión directa",147,6,"NA",-79.0488,-8.13238,"No"
"130111","VICTOR LARCO HERRERA","255416","1583 TUPAC AMARU","Pública de gestión directa",179,6,"NA",-79.04638,-8.142,"No"
"130111","VICTOR LARCO HERRERA","255421","1584 LA PROVIDENCIA","Pública de gestión directa",182,7,"NA",-79.0512,-8.1407,"No"
"130111","VICTOR LARCO HERRERA","255440","1663","Pública de gestión directa",65,3,"NA",-79.06084,-8.13935,"No"
"130111","VICTOR LARCO HERRERA","255459","1683 MI PEQUEÑO MUNDO","Pública de gestión directa",106,4,"NA",-79.05022,-8.14703,"No"
"130111","VICTOR LARCO HERRERA","255464","1699","Pública de gestión directa",94,4,"NA",-79.04036,-8.13833,"No"
"130111","VICTOR LARCO HERRERA","255478","VICTOR RAUL HAYA DE LA TORRE","Pública de gestión directa",581,27,"1",-79.05865,-8.14132,"Sí"
"130111","VICTOR LARCO HERRERA","255483","80089 SEÑOR DE HUAMAN","Pública de gestión directa",161,6,"NA",-79.04007,-8.13845,"No"
"130111","VICTOR LARCO HERRERA","255497","80820 VICTOR LARCO","Pública de gestión directa",893,47,"NA",-79.04967,-8.14026,"Sí"
"130111","VICTOR LARCO HERRERA","255505","80891 AUGUSTO ALVA ASCURRA","Pública de gestión directa",920,38,"NA",-79.04928,-8.13242,"Sí"
"130111","VICTOR LARCO HERRERA","255510","81017 SANTA EDELMIRA","Pública de gestión directa",1250,60,"NA",-79.0431,-8.13503,"Sí"
"130111","VICTOR LARCO HERRERA","255529","81025 JOSE ANTONIO ENCINAS","Pública de gestión directa",1177,48,"NA",-79.05086,-8.14495,"Sí"
"130111","VICTOR LARCO HERRERA","255534","81026 ANDRES AVELINO CACERES","Pública de gestión directa",638,25,"NA",-79.04785,-8.13835,"Sí"
"130111","VICTOR LARCO HERRERA","255548","81501","Pública de gestión directa",170,8,"NA",-79.0299,-8.136,"No"
"130111","VICTOR LARCO HERRERA","255553","LA INMACULADA","Privada",513,33,"NA",-79.03762,-8.13225,"Sí"
"130111","VICTOR LARCO HERRERA","255614","LOS SAUCES","Privada",103,12,"NA",-79.05539,-8.14129,"No"
"130111","VICTOR LARCO HERRERA","255633","SAN ANTONIO MARIA CLARET","Privada",59,5,"NA",-79.03831,-8.13095,"No"
"130111","VICTOR LARCO HERRERA","255708","SAN JOSE OBRERO","Privada",948,52,"NA",-79.04212,-8.13148,"Sí"
"130111","VICTOR LARCO HERRERA","255727","ALFRED NOBEL","Privada",285,13,"NA",-79.04408,-8.131,"No"
"130111","VICTOR LARCO HERRERA","255765","NUESTRA SEÑORA DEL CARMEN","Privada",69,7,"NA",-79.05547,-8.14342,"No"
"130111","VICTOR LARCO HERRERA","255770","SAN JOSE OBRERO","Privada",629,39,"NA",-79.04026,-8.13309,"Sí"
"130111","VICTOR LARCO HERRERA","255845","TERCER MILENIO","Privada",178,11,"NA",-79.04637,-8.13429,"No"
"130111","VICTOR LARCO HERRERA","255850","LA SALLE","Privada",44,3,"NA",-79.03373,-8.13808,"No"
"130111","VICTOR LARCO HERRERA","517418","LAS AMERICAS","Privada",12,3,"NA",-79.04694,-8.14437,"No"
"130111","VICTOR LARCO HERRERA","529082","DEL PRADO","Privada",36,3,"NA",-79.05018,-8.13648,"No"
"130111","VICTOR LARCO HERRERA","589778","FERNANDO DE SZYSZLO","Privada",5,4,"NA",-79.04715,-8.14001,"No"
"130111","VICTOR LARCO HERRERA","657220","SAN JOSE","Privada",31,5,"NA",-79.03882,-8.13301,"No"
