"IDDIST";"DISTRITO";"Código de Local Educativo";"Nombre de Local Educativo";"Gestión";"Número de Estudiantes";"Número de Docentes";"Siniestros Fatales Registrados";"Longitud";"Latitud";"Local Educativo Priorizado (preliminar)"
"220804";"NUEVA CAJAMARCA";"383225";"VIRGEN DE LA MEDALLA MILAGROSA";"Privada";190;17;"NA";-77.310004;-5.93929;"No"
"220804";"NUEVA CAJAMARCA";"479925";"292";"Pública de gestión directa";44;3;"NA";-77.3921;-5.7997;"No"
"220804";"NUEVA CAJAMARCA";"480226";"083";"Pública de gestión directa";16;1;"NA";-77.2945;-5.9221;"No"
"220804";"NUEVA CAJAMARCA";"480231";"207";"Pública de gestión directa";85;4;"NA";-77.3441;-5.8635;"No"
"220804";"NUEVA CAJAMARCA";"480245";"300";"Pública de gestión directa";82;3;"NA";-77.312298;-5.941475;"No"
"220804";"NUEVA CAJAMARCA";"480269";"305";"Pública de gestión directa";148;6;"NA";-77.30845;-5.93607;"No"
"220804";"NUEVA CAJAMARCA";"480274";"293 SAGRADO CORAZON DE JESUS";"Pública de gestión directa";135;5;"1";-77.31086;-5.93548;"Sí"
"220804";"NUEVA CAJAMARCA";"480288";"299";"Pública de gestión directa";121;5;"NA";-77.310925;-5.946599;"No"
"220804";"NUEVA CAJAMARCA";"480306";"00043";"Pública de gestión directa";69;4;"NA";-77.34667;-5.91053;"No"
"220804";"NUEVA CAJAMARCA";"480330";"084";"Pública de gestión directa";92;5;"NA";-77.39358;-5.80671;"No"
"220804";"NUEVA CAJAMARCA";"480349";"156 JOYITAS DE JESUS";"Pública de gestión directa";304;13;"NA";-77.309871;-5.941606;"Sí"
"220804";"NUEVA CAJAMARCA";"480354";"201 MARIA ROSELIZA AVELINO DE LA CRUZ";"Pública de gestión directa";82;4;"NA";-77.32293;-5.90764;"No"
"220804";"NUEVA CAJAMARCA";"480373";"00150";"Pública de gestión directa";295;20;"NA";-77.3402;-5.9497;"No"
"220804";"NUEVA CAJAMARCA";"480387";"00912";"Pública de gestión directa";296;13;"NA";-77.38816;-5.815552;"No"
"220804";"NUEVA CAJAMARCA";"480392";"00843";"Pública de gestión directa";19;2;"NA";-77.373676;-5.865805;"No"
"220804";"NUEVA CAJAMARCA";"480405";"00161";"Pública de gestión directa";217;20;"NA";-77.36561;-5.9126;"No"
"220804";"NUEVA CAJAMARCA";"480410";"00911";"Pública de gestión directa";77;6;"NA";-77.3191;-5.8468;"No"
"220804";"NUEVA CAJAMARCA";"480429";"00038";"Pública de gestión directa";27;2;"NA";-77.3524;-5.8929;"No"
