"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Local Educativo Priorizado (preliminar)"
"200110","LA UNION","414062","20016","Pública de gestión directa",54,3,"NA",-80.694267,-5.392616,"No"
"200110","LA UNION","414496","025 DIVINO NIÑO","Pública de gestión directa",160,6,"NA",-80.7406,-5.3996,"No"
"200110","LA UNION","414509","059","Pública de gestión directa",85,4,"NA",-80.74616,-5.40446,"No"
"200110","LA UNION","414514","062","Pública de gestión directa",107,4,"NA",-80.761644,-5.391007,"No"
"200110","LA UNION","414528","189","Pública de gestión directa",70,4,"1",-80.742563,-5.402155,"Sí"
"200110","LA UNION","414547","815","Pública de gestión directa",59,3,"NA",-80.7417,-5.3958,"No"
"200110","LA UNION","414566","368","Pública de gestión directa",54,3,"NA",-80.706503,-5.412578,"No"
"200110","LA UNION","414571","369","Pública de gestión directa",192,8,"NA",-80.768914,-5.384304,"No"
"200110","LA UNION","414585","388","Pública de gestión directa",62,3,"NA",-80.774625,-5.377205,"No"
"200110","LA UNION","414590","463","Pública de gestión directa",60,3,"NA",-80.726673,-5.377585,"No"
"200110","LA UNION","414608","464","Pública de gestión directa",162,6,"NA",-80.7382,-5.3911,"No"
"200110","LA UNION","414627","723","Pública de gestión directa",172,6,"NA",-80.764026,-5.383313,"No"
"200110","LA UNION","414632","755","Pública de gestión directa",61,3,"NA",-80.7484,-5.4053,"No"
"200110","LA UNION","414646","812","Pública de gestión directa",30,2,"NA",-80.7453,-5.4007,"No"
"200110","LA UNION","414651","14033","Pública de gestión directa",68,5,"NA",-80.738539,-5.369222,"No"
"200110","LA UNION","414665","14059","Pública de gestión directa",570,21,"NA",-80.7429,-5.3988,"Sí"
"200110","LA UNION","414670","14061","Pública de gestión directa",528,27,"NA",-80.732394,-5.376383,"Sí"
"200110","LA UNION","414689","14063","Pública de gestión directa",450,23,"NA",-80.708613,-5.404385,"Sí"
