"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"360200","CORONEL PEDRO PORTILLO SILVA",150806,"LIMA","HUAURA","HUAURA","Pública de gestión directa",944,56,NA,-77.60346,-11.067427,"Priorizada"
"360238","20335 NUESTRA SEÑORA DEL CARMEN",150806,"LIMA","HUAURA","HUAURA","Pública de gestión directa",840,46,1,-77.59906,-11.06738,"Priorizada"
"360276","20334 GENERALISIMO DON JOSE DE SAN MARTIN",150806,"LIMA","HUAURA","HUAURA","Pública de gestión directa",1481,77,1,-77.59851,-11.06771,"Priorizada"
"360295","20332 REINO DE SUECIA",150806,"LIMA","HUAURA","HUAURA","Pública de gestión directa",726,47,NA,-77.41009,-11.09646,"Priorizada"
"360304","461 MEDALLITA MILAGROSA",150806,"LIMA","HUAURA","HUAURA","Pública de gestión directa",314,16,NA,-77.59961,-11.07045,"Priorizada"
"360342","660",150806,"LIMA","HUAURA","HUAURA","Pública de gestión directa",494,26,NA,-77.47564,-11.07187,"Priorizada"
"360361","20366 TUPAC AMARU II",150806,"LIMA","HUAURA","HUAURA","Pública de gestión directa",879,37,NA,-77.60436,-11.07024,"Priorizada"
"360417","653 SAN JOSE",150806,"LIMA","HUAURA","HUAURA","Pública de gestión privada",673,24,NA,-77.59793,-11.06819,"Priorizada"
"360950","INNOVAS SCHOOLS HUAURA",150806,"LIMA","HUAURA","HUAURA","Privada",495,32,NA,-77.601487,-11.06552,"Priorizada"
"602063","SANTA BARBARA",150806,"LIMA","HUAURA","HUAURA","Privada",299,19,2,-77.59894,-11.06644,"Priorizada"
"602077","TRIOLET",150806,"LIMA","HUAURA","HUAURA","Privada",420,26,NA,-77.6004,-11.06792,"Priorizada"
"755739","ANDRES BELLO",150806,"LIMA","HUAURA","HUAURA","Privada",28,5,NA,-77.59877,-11.07079,"Priorizada"
