"IDDIST";"DISTRITO";"Código de Local Educativo";"Nombre de Local Educativo";"Gestión";"Número de Estudiantes";"Número de Docentes";"Siniestros Fatales Registrados";"Longitud";"Latitud";"Local Educativo Priorizado (preliminar)"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"031068";"ESTRELLITA DE BELEN";"Privada";112;17;"NA";-70.24519;-18.03598;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"074996";"SANTA MARGARITA";"Privada";28;3;"NA";-70.24735;-18.04461;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"254025";"SAN MIGUEL ARCANGEL";"Privada";46;5;"1";-70.25615;-18.04626;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486129";"378";"Pública de gestión directa";101;4;"NA";-70.25297;-18.03886;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486134";"396 ALFONSO UGARTE";"Pública de gestión directa";119;5;"NA";-70.25247;-18.04183;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486148";"397 SAN FRANCISCO";"Pública de gestión directa";103;5;"NA";-70.25486;-18.04309;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486172";"405 NAZARENO";"Pública de gestión directa";122;5;"NA";-70.25536;-18.04961;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486186";"406 JEAN PIAGET";"Pública de gestión directa";98;4;"NA";-70.24817;-18.04267;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486247";"411 NIÑOS DE FATIMA";"Pública de gestión directa";53;3;"NA";-70.2497;-18.03322;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486266";"414 VIRGEN DEL ROSARIO";"Pública de gestión directa";75;3;"NA";-70.25473;-18.03696;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486285";"419";"Pública de gestión directa";182;9;"NA";-70.2496;-18.05448;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486539";"42237 JORGE CHAVEZ";"Pública de gestión directa";1945;104;"NA";-70.25572;-18.04038;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486544";"42238 ENRIQUE PAILLARDELLE";"Pública de gestión directa";1921;103;"NA";-70.250942;-18.047217;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"486836";"42253 GERARDO ARIAS COPAJA";"Pública de gestión directa";990;47;"NA";-70.25725;-18.05123;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"487553";"HUGO MITCHELL";"Privada";121;12;"NA";-70.24914;-18.03139;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"538166";"HANS BRUNING";"Privada";77;5;"NA";-70.24067;-18.02891;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"580160";"SAN GABRIEL ARCANGEL";"Privada";45;5;"NA";-70.26106;-18.04616;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"614508";"441";"Pública de gestión directa";75;3;"NA";-70.257427;-18.061504;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"614513";"442";"Pública de gestión directa";142;6;"NA";-70.25132;-18.04962;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"616970";"SAN MARCOS";"Privada";8;3;"NA";-70.25854;-18.04416;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"623862";"SEÑOR DE LOS MILAGROS";"Privada";106;14;"NA";-70.24346;-18.05025;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"644044";"446";"Pública de gestión directa";100;5;"NA";-70.2502;-18.0675;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"647518";"MI MUNDO MAGICO";"Privada";22;3;"NA";-70.2456;-18.038;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"668488";"447";"Pública de gestión directa";62;3;"NA";-70.24459;-18.04882;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"668515";"450 ENRIQUE DELHORME";"Pública de gestión directa";236;10;"NA";-70.2409;-18.0699;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"668520";"451";"Pública de gestión directa";68;3;"NA";-70.2634;-18.07028;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"668539";"452";"Pública de gestión directa";75;3;"NA";-70.2556;-18.0556;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"668544";"453";"Pública de gestión directa";94;4;"NA";-70.2502;-18.0638;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"668577";"456 EL CARMELO DE MARIA";"Pública de gestión privada";335;19;"2";-70.27736;-18.08729;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"668582";"457";"Pública de gestión directa";55;3;"NA";-70.2527;-18.0775;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"717813";"459";"Pública de gestión directa";72;3;"NA";-70.26252;-18.04746;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"718025";"43508 PROCER MANUEL CALDERON DE LA BARCA";"Pública de gestión directa";254;20;"NA";-70.26325;-18.07023;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728411";"462 MANUEL FERNANDO BONILLA";"Pública de gestión directa";65;3;"NA";-70.24244;-18.06404;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728425";"463 VIRGEN DEL CARMEN";"Pública de gestión directa";10;1;"NA";-70.24932;-18.03482;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728430";"464";"Pública de gestión directa";74;3;"NA";-70.262449;-18.067387;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728449";"465";"Pública de gestión directa";35;2;"NA";-70.26425;-18.07386;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728454";"466";"Pública de gestión directa";34;2;"NA";-70.25832;-18.03855;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728468";"467";"Pública de gestión directa";62;3;"NA";-70.24077;-18.05245;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728473";"468";"Pública de gestión directa";43;2;"NA";-70.25679;-18.07537;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728487";"469";"Pública de gestión directa";72;3;"1";-70.25391;-18.05259;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728492";"470";"Pública de gestión directa";26;2;"NA";-70.24665;-18.06516;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728519";"472";"Pública de gestión directa";51;3;"NA";-70.24248;-18.04892;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728524";"473 PEDRO QUINA CASTAÑON";"Pública de gestión directa";78;4;"NA";-70.23615;-18.05156;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728538";"474 VILLA UNION";"Pública de gestión directa";74;3;"NA";-70.25382;-18.07156;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"728543";"475";"Pública de gestión directa";83;4;"NA";-70.26018;-18.0449;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"763027";"481";"Pública de gestión directa";14;1;"NA";-70.24569;-18.0586;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"763032";"478";"Pública de gestión directa";49;3;"NA";-70.24065;-18.04451;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"763046";"479";"Pública de gestión directa";31;2;"NA";-70.24902;-18.07526;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"763051";"480";"Pública de gestión directa";14;1;"NA";-70.23277;-18.05532;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"808441";"42256 ESPERANZA MARTINEZ DE LOPEZ";"Pública de gestión directa";669;41;"NA";-70.24279;-18.03286;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"808455";"42255 SANTA TERESITA DEL NIÑO JESUS";"Pública de gestión directa";1033;57;"NA";-70.24599;-18.03938;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"808460";"426";"Pública de gestión directa";63;3;"1";-70.25397;-18.0528;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"808525";"BEATA ANA ROSA GATTORNO";"Pública de gestión directa";68;12;"NA";-70.2506;-18.03996;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"808653";"LUIS ALBERTO SANCHEZ";"Pública de gestión directa";2165;113;"NA";-70.25076;-18.05841;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"808686";"42257 NUESTRO SEÑOR DE LA MISERICORDIA";"Pública de gestión directa";338;16;"NA";-70.25546;-18.05518;"Sí"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"808728";"KINDERLAND";"Privada";75;7;"NA";-70.24887;-18.03197;"No"
"230110";"CORONEL GREGORIO ALBARRACIN LANCHIPA";"809214";"DR. JOSE ANTONIO ENCINAS FRANCO";"Pública de gestión directa";878;56;"NA";-70.24763;-18.06851;"Sí"
