"IDDIST","DISTRITO","Código de Local Educativo","Nombre de Local Educativo","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Priorizado (preliminar)"
"150123","PACHACAMAC","059279","VIRGEN DE LOURDES DE PACHACAMAC","Privada",47,4,"NA",-76.86725,-12.18874,"No"
"150123","PACHACAMAC","294818","REINA DE LOS ANGELES DE MANCHAY","Privada",78,4,"NA",-76.8848,-12.09486,"No"
"150123","PACHACAMAC","318051","527 NIÑO JESUS DE PRAGA","Pública de gestión directa",287,12,"NA",-76.85818,-12.2289,"No"
"150123","PACHACAMAC","318065","653","Pública de gestión directa",267,10,"NA",-76.87503,-12.11151,"No"
"150123","PACHACAMAC","318094","659","Pública de gestión directa",114,5,"NA",-76.87052,-12.10365,"No"
"150123","PACHACAMAC","318107","662 REINA DE LOS ANGELES","Pública de gestión directa",52,2,"NA",-76.87658,-12.20985,"No"
"150123","PACHACAMAC","318112","663 DIVINO NIÑO DEL MILAGRO","Pública de gestión directa",125,6,"NA",-76.86943,-12.18656,"No"
"150123","PACHACAMAC","318126","664 SANTA ROSA","Pública de gestión directa",67,3,"NA",-76.87405,-12.20006,"No"
"150123","PACHACAMAC","318131","667","Pública de gestión directa",383,15,"NA",-76.87476,-12.09988,"Sí"
"150123","PACHACAMAC","318145","668 ROXANITA CASTRO WITTING","Pública de gestión directa",1083,44,"1",-76.87164,-12.12297,"Sí"
"150123","PACHACAMAC","318150","669","Pública de gestión directa",178,6,"NA",-76.86958,-12.1579,"No"
"150123","PACHACAMAC","318169","670","Pública de gestión directa",169,6,"NA",-76.8771,-12.08392,"No"
"150123","PACHACAMAC","318174","6028 JUAN VELASCO ALVARADO","Pública de gestión directa",467,25,"NA",-76.86708,-12.18758,"Sí"
"150123","PACHACAMAC","318188","6055 VIRGEN DE FATIMA","Pública de gestión directa",156,8,"NA",-76.8534,-12.18858,"No"
"150123","PACHACAMAC","318206","6006 SANTISIMA VIRGEN DE LOURDES","Pública de gestión directa",670,31,"NA",-76.85886,-12.22828,"Sí"
"150123","PACHACAMAC","318211","6007","Pública de gestión directa",960,34,"1",-76.85912,-12.22942,"Sí"
"150123","PACHACAMAC","318225","6016 JESUS SALVADOR","Pública de gestión directa",602,33,"NA",-76.8396,-12.14862,"Sí"
"150123","PACHACAMAC","318230","6100 SANTA MARIA REYNA","Pública de gestión directa",325,15,"NA",-76.87457,-12.20992,"Sí"
"150123","PACHACAMAC","318249","7040 SAN MARTIN DE PORRES","Pública de gestión directa",139,6,"NA",-76.87261,-12.19956,"No"
"150123","PACHACAMAC","318254","7102 SAN FRANCISCO DE ASIS","Pública de gestión directa",2360,99,"NA",-76.87333,-12.1069,"Sí"
"150123","PACHACAMAC","318273","7259 VICTOR R. HAYA DE LA TORRE","Pública de gestión directa",2159,88,"NA",-76.88185,-12.09095,"Sí"
"150123","PACHACAMAC","318287","7260 SEÑOR DE LOS MILAGROS","Pública de gestión directa",383,16,"NA",-76.86785,-12.15945,"Sí"
"150123","PACHACAMAC","318292","7261 SANTA ROSA DE COLLANAC","Pública de gestión directa",1082,52,"NA",-76.86514,-12.10125,"Sí"
"150123","PACHACAMAC","318305","ISAIAS ARDILES","Pública de gestión directa",1157,64,"NA",-76.85761,-12.22935,"Sí"
"150123","PACHACAMAC","318310","666 LOS JARDINES","Pública de gestión directa",23,4,"NA",-76.86378,-12.10973,"No"
"150123","PACHACAMAC","318329","672","Pública de gestión directa",311,12,"NA",-76.88687,-12.09551,"Sí"
"150123","PACHACAMAC","318334","7262 MI NUEVO PERU","Pública de gestión directa",1028,36,"NA",-76.87376,-12.08484,"Sí"
"150123","PACHACAMAC","318353","SANTISIMA VIRGEN DIVINA PASTORA","Privada",343,15,"NA",-76.86699,-12.1116,"Sí"
"150123","PACHACAMAC","318367","SEÑOR DE LA ASCENSION","Privada",1160,41,"NA",-76.87053,-12.0989,"Sí"
