"Código de Local Educativo","Nombre de Local Educativo","IDDIST1","DEPARTAMEN","PROVINCIA","DISTRITO","Gestión","Número de Estudiantes","Número de Docentes","Siniestros Fatales Registrados","Longitud","Latitud","Zona Escolar"
"258622","180",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",425,15,NA,-79.43226,-7.22621,"Priorizada"
"258764","SANTA JUANA DE LESTONNAC",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión privada",609,31,NA,-79.4288,-7.224,"Priorizada"
"258783","80382 CARLOS A. OLIVARES",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",1337,67,1,-79.427838,-7.228072,"Priorizada"
"258797","80386",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",519,31,NA,-79.4315,-7.227,"Priorizada"
"258815","80389",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",318,17,NA,-79.4222,-7.2303,"Priorizada"
"258820","80390",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",322,16,NA,-79.412065,-7.23049,"Priorizada"
"258839","80391 ALFREDO NOVOA CAVA",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",394,19,NA,-79.427,-7.2323,"Priorizada"
"258882","1639",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",1986,112,NA,-79.4299,-7.2315,"Priorizada"
"258924","81031",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",295,17,1,-79.429,-7.2289,"Priorizada"
"259037","CARLOS GUTIERREZ NORIEGA",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",555,46,NA,-79.4342,-7.2224,"Priorizada"
"259042","19",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",536,33,NA,-79.4316,-7.2259,"Priorizada"
"259056","66",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",596,35,NA,-79.41509,-7.23245,"Priorizada"
"259117","81558 IMELDA CAVA VARGAS",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Pública de gestión directa",238,17,1,-79.399314,-7.242666,"Priorizada"
"259160","EL PORVENIR",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Privada",538,34,NA,-79.42893,-7.2267,"Priorizada"
"259202","SAN PEDRO",130401,"LA LIBERTAD","CHEPEN","CHEPEN","Privada",494,23,NA,-79.43087,-7.22942,"Priorizada"
